"Sample","Ind","Muscle","SampleID","Concen.","RIN","Remained"
"MD04_GAL_Sam29","MD04","GAL","29",66,4.9,"No"
"MD04_GRA_Sam68","MD04","GRA","68",322,7.1,"Maybe"
"MD04_GRA_Sam100","MD04","GRA","100",762,5.8,"Yes"
"MD04_REF_Sam146","MD04","REF","146",63,5,"No"
"MD04_SED_Sam69","MD04","SED","69",87,5,"No"
"MD04_SEM_Sam30","MD04","SEM","30",230,6.3,"Maybe"
"MD05_GAL_Sam107","MD05","GAL","107",61,0,"No"
"MD05_GRA_Sam108","MD05","GRA","108",166,6.5,"Maybe"
"MD05_GRA_Sam142","MD05","GRA","142",346,4.5,"Yes"
"MD05_SED_Sam31","MD05","SED","31",65,4.9,"No"
"MD05_SEM_Sam70","MD05","SEM","70",67,5.2,"No"
"MD05_VAM_Sam147","MD05","VAM","147",62,0,"No"
"MD06_GAL_Sam71","MD06","GAL","71",151,5.6,"Maybe"
"MD06_GRA_Sam25","MD06","GRA","25",316,4.4,"Yes"
"MD06_GRA_Sam148","MD06","GRA","148",108,4.2,"Maybe"
"MD06_REF_Sam109","MD06","REF","109",76.6,5,"Maybe"
"MD06_SED_Sam149","MD06","SED","149",121,5.3,"Maybe"
"MD06_SEM_Sam110","MD06","SEM","110",111,4.9,"Maybe"
"MD06_VAL_Sam72","MD06","VAL","72",110,5.9,"Maybe"
"MD06_VAM_Sam32","MD06","VAM","32",13.1,5.4,"No"
"MD07_GAL_Sam150","MD07","GAL","150",20.6,0,"Yes"
"MD07_GRA_Sam23","MD07","GRA","23",522,8.2,"Yes"
"MD07_GRA_Sam73","MD07","GRA","73",30.4,0,"Yes"
"MD07_REF_Sam74","MD07","REF","74",25,0,"Yes"
"MD07_SED_Sam33","MD07","SED","33",23.2,2.6,"Yes"
"MD07_SEM_Sam151","MD07","SEM","151",13.9,2.6,"Maybe"
"MD07_VAL_Sam111","MD07","VAL","111",8.16,0,"No"
"MD07_VAM_Sam112","MD07","VAM","112",7.1,2.7,"No"
"MD08_GAL_Sam34","MD08","GAL","34",108,2.8,"Yes"
"MD08_GRA_Sam65","MD08","GRA","65",340,7.9,"Yes"
"MD08_GRA_Sam152","MD08","GRA","152",110,0,"Yes"
"MD08_REF_Sam113","MD08","REF","113",16.3,5.2,"Yes"
"MD08_SED_Sam114","MD08","SED","114",29.2,0,"Yes"
"MD08_SEM_Sam35","MD08","SEM","35",82,0,"Yes"
"MD08_VAL_Sam153","MD08","VAL","153",16,5.6,"Yes"
"MD08_VAM_Sam75","MD08","VAM","75",24.6,0,"Yes"
"MD10_GAL_Sam115","MD10","GAL","115",103,4.8,"Yes"
"MD10_GRA_Sam36","MD10","GRA","36",27.8,4.2,"Yes"
"MD10_GRA_Sam106","MD10","GRA","106",460,7.8,"Yes"
"MD10_REF_Sam154","MD10","REF","154",0,4.8,"No"
"MD10_SED_Sam76","MD10","SED","76",18.6,2.5,"Yes"
"MD10_SEM_Sam77","MD10","SEM","77",152,4.8,"Yes"
"MD10_VAL_Sam37","MD10","VAL","37",89.4,2.9,"Yes"
"MD10_VAM_Sam155","MD10","VAM","155",48.8,3.4,"Yes"
"MD11_GAL_Sam105","MD11","GAL","105",408,7.8,"Yes"
"MD11_GRA_Sam52","MD11","GRA","52",146,0,"Yes"
"MD11_REF_Sam40","MD11","REF","40",0,0,"No"
"MD11_SED_Sam12","MD11","SED","12",195,8.1,"Yes"
"MD11_SEM_Sam16","MD11","SEM","16",448,7.8,"Yes"
"MD11_VAL_Sam86","MD11","VAL","86",74.4,5.4,"Yes"
"MD11_VAM_Sam121","MD11","VAM","121",36.6,6.7,"Yes"
"MD12_GAL_Sam78","MD12","GAL","78",152,5.2,"Yes"
"MD12_GRA_Sam116","MD12","GRA","116",47.4,3.8,"Yes"
"MD12_GRA_Sam139","MD12","GRA","139",432,7.5,"Yes"
"MD12_REF_Sam38","MD12","REF","38",91.6,5,"Yes"
"MD12_SED_Sam156","MD12","SED","156",153,7.2,"Yes"
"MD12_SEM_Sam117","MD12","SEM","117",302,6.6,"Yes"
"MD12_VAM_Sam39","MD12","VAM","39",23.2,4.7,"Yes"
"MD13_GAL_Sam138","MD13","GAL","138",314,5,"Yes"
"MD13_GRA_Sam14","MD13","GRA","14",187,7.3,"Yes"
"MD13_REF_Sam122","MD13","REF","122",210,2.2,"Yes"
"MD13_SED_Sam60","MD13","SED","60",126,6.5,"Yes"
"MD13_SEM_Sam9","MD13","SEM","9",11.8,4.7,"No"
"MD13_VAL_Sam79","MD13","VAL","79",97.8,6.2,"Yes"
"MD13_VAM_Sam50","MD13","VAM","50",87,6.7,"Yes"
"MD14_GAL_Sam57","MD14","GAL","57",191,7.6,"Yes"
"MD14_GRA_Sam61","MD14","GRA","61",202,7.5,"Yes"
"MD14_REF_Sam24","MD14","REF","24",6,7.2,"No"
"MD14_SED_Sam132","MD14","SED","132",114,7.3,"Yes"
"MD14_SEM_Sam81","MD14","SEM","81",85,7.9,"Yes"
"MD14_VAL_Sam97","MD14","VAL","97",129,4.9,"Yes"
