 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C2-multichannel	1.268	281.000	18.248	260	260	293	2355.702	2485.050	1.000	290	1.464	0.683	0.857
2	C2-multichannel	22.815	362.852	74.932	313	242	537	2252.900	2488.757	0.993	362	1.154	0.867	0.939
3	C2-multichannel	1.690	285.500	17.616	289	261	303	2354.313	2487.876	0.857	289	2.031	0.492	0.800
4	C2-multichannel	25.773	338.393	95.858	299	218	673	2228.189	2495.290	0.671	302	1.557	0.642	0.813
5	C2-multichannel	9.295	307.955	36.084	288	238	387	2346.192	2499.849	0.456	300	4.900	0.204	0.647
6	C2-multichannel	3.803	292.889	16.190	289	271	318	2315.449	2497.984	0.923	289	2.386	0.419	0.947
7	C2-multichannel	42.673	366.891	102.450	306	210	670	2217.700	2501.902	0.608	334	2.422	0.413	0.795
8	C2-multichannel	29.998	384.535	114.522	277	199	678	2166.593	2514.119	0.502	353	3.722	0.269	0.910
9	C2-multichannel	68.023	413.640	122.385	271	228	705	1695.890	2517.496	0.674	398	2.240	0.446	0.845
10	C2-multichannel	65.488	314.806	39.928	265	246	468	2410.366	2520.160	0.847	309	1.442	0.693	0.891
11	C2-multichannel	19.858	318.085	49.675	326	223	441	2198.480	2520.330	0.947	322	1.431	0.699	0.887
12	C2-multichannel	24.928	317.932	49.571	317	250	471	2190.119	2523.558	0.761	306	1.657	0.604	0.843
13	C2-multichannel	4.225	285.300	14.423	284	259	307	2168.472	2522.841	0.887	284	1.587	0.630	0.800
14	C2-multichannel	4.225	286.400	16.701	280	272	325	1698.311	2529.355	0.887	280	1.491	0.670	0.800
15	C2-multichannel	141.115	426.072	161.177	331	199	981	1734.631	2539.087	0.437	370	2.339	0.427	0.701
16	C2-multichannel	16.055	317.079	34.827	293	254	394	2331.036	2537.572	0.550	316	3.449	0.290	0.768
17	C2-multichannel	4.225	304.100	29.953	246	246	345	1779.869	2537.598	1.000	317	1.327	0.753	0.909
18	C2-multichannel	40.983	350.866	63.502	258	244	517	2238.485	2550.738	0.909	346	1.424	0.702	0.911
19	C2-multichannel	72.670	413.767	124.986	269	195	766	2264.175	2552.310	0.537	401	3.761	0.266	0.884
20	C2-multichannel	32.955	318.115	42.724	269	223	412	2446.409	2554.525	0.708	312	2.164	0.462	0.830
21	C2-multichannel	3.803	302.333	39.147	241	241	341	2465.428	2556.686	1.000	325	1.817	0.550	0.857
22	C2-multichannel	95.063	375.102	88.167	283	240	605	1859.660	2568.778	0.766	360	1.496	0.669	0.888
23	C2-multichannel	5.070	296.250	33.529	248	248	355	2338.642	2568.128	0.539	296	3.332	0.300	0.632
24	C2-multichannel	22.393	313.811	29.560	298	255	387	2418.960	2579.000	0.392	314	4.616	0.217	0.731
25	C2-multichannel	208.293	536.548	226.517	513	198	1709	1738.917	2581.725	0.620	509	1.838	0.544	0.831
26	C2-multichannel	29.153	360.333	77.181	259	227	540	1722.926	2585.577	0.815	356	1.580	0.633	0.857
27	C2-multichannel	64.643	345.569	56.811	255	225	479	1761.299	2587.081	0.854	339	1.495	0.669	0.913
28	C2-multichannel	37.603	310.236	45.129	270	241	406	2536.899	2587.053	0.492	312	1.493	0.670	0.669
29	C2-multichannel	23.660	308.929	31.488	268	255	382	2414.804	2589.448	0.638	302	2.937	0.340	0.848
30	C2-multichannel	9.295	294.091	27.937	279	244	352	2321.251	2589.860	0.443	291	4.371	0.229	0.667
31	C2-multichannel	45.630	1091.037	1280.438	245	222	5939	1690.573	2590.597	0.938	460	1.170	0.855	0.915
32	C2-multichannel	65.910	392.365	99.507	449	225	633	1708.668	2593.784	0.862	379	1.692	0.591	0.920
33	C2-multichannel	2.113	313.000	28.284	286	286	358	1782.477	2590.333	1.000	300	1.553	0.644	0.909
34	C2-multichannel	7.605	304.444	37.694	253	242	358	2550.090	2590.821	0.965	315	1.978	0.506	0.878
35	C2-multichannel	1.690	332.500	26.615	305	305	360	2232.096	2592.201	1.000	350	1.000	1.000	1.000
36	C2-multichannel	17.745	313.286	30.061	280	240	372	2535.699	2596.988	0.863	314	1.865	0.536	0.913
37	C2-multichannel	6.760	336.500	56.421	254	254	440	2140.483	2597.390	1.000	344	1.000	1.000	1.000
38	C2-multichannel	51.545	390.820	118.567	283	221	865	2209.458	2601.284	0.812	368	1.468	0.681	0.900
39	C2-multichannel	70.135	304.072	33.738	280	235	390	1850.005	2606.136	0.693	301	2.360	0.424	0.922
40	C2-multichannel	60.418	376.979	99.671	403	230	619	1713.396	2604.356	0.735	356	2.078	0.481	0.908
41	C2-multichannel	120.835	540.108	216.063	341	205	964	2198.957	2605.132	0.820	517	1.407	0.711	0.917
42	C2-multichannel	35.913	462.753	161.988	241	218	774	2188.546	2608.861	0.786	456	1.142	0.876	0.859
43	C2-multichannel	86.190	420.230	127.537	312	237	738	1674.919	2612.433	0.809	392	1.963	0.509	0.929
44	C2-multichannel	34.223	404.272	179.761	283	217	1188	2331.037	2616.701	0.527	350	3.667	0.273	0.818
45	C2-multichannel	79.008	481.235	224.875	251	221	1205	2244.201	2618.075	0.672	392	2.175	0.460	0.880
46	C2-multichannel	23.660	290.607	22.279	284	236	350	1828.573	2617.597	0.838	288	1.477	0.677	0.875
47	C2-multichannel	8.028	330.158	68.656	305	253	477	2297.885	2615.927	0.879	305	2.199	0.455	0.950
48	C2-multichannel	50.278	377.345	85.723	292	232	616	2277.632	2620.453	0.827	375	1.215	0.823	0.859
49	C2-multichannel	5.070	292.083	22.039	289	252	331	2428.256	2617.485	1.000	289	1.281	0.780	0.857
50	C2-multichannel	45.208	542.056	297.128	247	202	1859	1591.956	2621.222	0.773	455	1.832	0.546	0.859
51	C2-multichannel	14.365	307.941	26.212	302	254	367	1821.887	2618.606	0.919	305	1.471	0.680	0.861
52	C2-multichannel	158.015	597.540	291.964	242	218	1413	2263.135	2623.052	0.543	550	2.793	0.358	0.865
53	C2-multichannel	5.070	315.333	33.614	263	263	367	2429.839	2623.023	0.851	326	2.360	0.424	0.800
54	C2-multichannel	69.713	370.048	106.130	328	206	704	2348.109	2631.998	0.318	343	5.310	0.188	0.661
55	C2-multichannel	108.160	445.285	190.498	368	229	1108	2382.887	2632.948	0.644	382	1.871	0.534	0.862
56	C2-multichannel	13.098	330.129	46.529	294	243	432	2436.671	2629.065	0.907	319	1.759	0.569	0.899
57	C2-multichannel	17.745	300.667	36.067	284	237	418	2258.182	2640.564	0.713	297	1.751	0.571	0.778
58	C2-multichannel	16.478	374.026	118.905	287	228	705	2371.125	2639.553	0.750	337	2.191	0.456	0.886
59	C2-multichannel	41.405	393.786	110.512	271	218	629	2452.113	2641.952	0.851	396	1.596	0.627	0.899
60	C2-multichannel	7.183	275.471	17.660	249	249	307	1767.931	2641.355	1.000	276	1.263	0.792	0.919
61	C2-multichannel	11.830	285.286	26.007	269	238	347	2460.609	2642.115	0.800	288	1.695	0.590	0.789
62	C2-multichannel	71.403	375.521	88.761	275	236	596	1761.421	2646.625	0.848	359	1.544	0.648	0.926
63	C2-multichannel	48.588	458.409	153.922	312	202	814	2156.983	2646.185	0.876	427	1.528	0.654	0.920
64	C2-multichannel	9.718	328.696	58.746	386	235	453	2393.423	2642.748	0.878	316	1.864	0.536	0.852
65	C2-multichannel	10.140	296.292	27.797	272	251	350	2260.520	2650.282	0.686	295	3.043	0.329	0.762
66	C2-multichannel	70.980	321.018	45.322	329	231	445	1871.462	2655.458	0.765	317	1.756	0.570	0.889
67	C2-multichannel	37.180	362.773	109.466	270	229	660	1760.745	2654.909	0.887	320	1.177	0.850	0.941
68	C2-multichannel	57.883	385.723	110.014	240	219	685	2344.515	2663.728	0.483	367	3.628	0.276	0.797
69	C2-multichannel	21.548	311.843	40.646	252	252	412	1767.329	2657.760	0.809	307	1.614	0.619	0.903
70	C2-multichannel	29.153	290.522	28.477	254	244	354	1768.732	2663.656	0.723	288	1.536	0.651	0.847
71	C2-multichannel	98.443	479.425	163.376	301	232	943	2257.926	2667.229	0.787	462	1.832	0.546	0.891
72	C2-multichannel	7.183	291.471	31.726	250	228	342	2348.714	2664.961	1.000	292	1.263	0.792	0.919
73	C2-multichannel	6.760	290.688	27.487	283	254	363	2158.302	2667.195	1.000	287	1.317	0.759	0.821
74	C2-multichannel	92.105	390.106	112.849	344	200	709	2497.479	2671.938	0.682	363	1.681	0.595	0.876
75	C2-multichannel	1.268	327.333	51.598	274	274	377	2163.344	2667.495	1.000	331	1.464	0.683	0.857
76	C2-multichannel	228.573	362.462	59.635	388	226	539	1853.957	2679.319	0.805	367	1.577	0.634	0.911
77	C2-multichannel	6.760	289.000	21.903	248	248	327	2154.816	2672.214	0.795	286	1.540	0.649	0.821
78	C2-multichannel	10.985	337.385	64.483	225	225	516	2169.399	2672.283	1.000	341	1.392	0.719	0.945
79	C2-multichannel	173.648	458.438	206.237	299	222	1243	1746.093	2683.259	0.557	404	1.519	0.659	0.787
80	C2-multichannel	30.843	382.274	98.560	274	220	577	2155.412	2678.240	0.803	380	2.055	0.487	0.907
81	C2-multichannel	15.210	330.139	50.079	285	226	452	2211.521	2683.046	0.740	328	2.525	0.396	0.889
82	C2-multichannel	132.665	434.159	143.649	387	192	869	2191.881	2692.668	0.476	417	2.889	0.346	0.820
83	C2-multichannel	130.975	549.835	224.755	277	185	1159	2172.524	2702.611	0.653	557	2.418	0.414	0.882
84	C2-multichannel	125.483	454.003	184.713	261	228	1189	2302.215	2712.987	0.735	397	1.461	0.685	0.868
85	C2-multichannel	1.268	281.000	11.533	270	270	293	2293.950	2706.484	1.000	280	1.464	0.683	0.857
86	C2-multichannel	46.475	361.464	87.163	293	187	660	2330.138	2917.597	0.773	347	2.001	0.500	0.873
87	C2-multichannel	28.730	344.588	67.717	353	234	538	2358.667	2917.918	0.803	337	2.049	0.488	0.913
88	C2-multichannel	2.113	319.400	29.433	295	295	368	2301.572	2918.710	1.000	311	1.553	0.644	0.909
89	C2-multichannel	52.390	463.573	190.509	272	218	905	2379.228	2924.620	0.882	401	1.650	0.606	0.932
90	C2-multichannel	29.575	300.886	31.168	304	226	387	2496.384	2930.037	0.770	304	2.174	0.460	0.886
91	C2-multichannel	39.293	457.839	182.645	436	226	962	2361.878	2933.374	0.883	416	1.511	0.662	0.925
92	C2-multichannel	45.630	521.769	264.240	255	225	1243	2385.890	2949.373	0.872	422	1.158	0.863	0.871
93	C2-multichannel	25.773	361.951	85.316	278	242	542	2393.240	2953.276	0.913	344	1.271	0.787	0.884
94	C2-multichannel	38.448	362.714	84.937	324	243	610	2504.711	2955.991	0.880	341	1.225	0.817	0.875
95	C2-multichannel	59.150	397.814	122.845	257	212	712	2318.356	2965.757	0.773	373	2.087	0.479	0.897
96	C2-multichannel	40.560	544.750	348.397	362	213	1678	2364.145	2965.820	0.973	392	1.018	0.982	0.919
97	C2-multichannel	5.070	330.000	41.661	334	269	427	2303.637	2964.155	1.000	334	1.281	0.780	0.857
98	C2-multichannel	17.323	432.854	186.238	288	211	826	2453.009	2967.624	0.976	350	1.623	0.616	0.901
99	C2-multichannel	10.563	325.480	48.473	274	248	414	2306.228	2967.749	1.000	319	1.667	0.600	0.877
100	C2-multichannel	36.335	409.326	137.787	306	218	829	2474.819	2971.723	0.724	367	2.158	0.463	0.869
101	C2-multichannel	24.928	365.356	106.938	364	240	663	2510.512	2977.681	0.733	338	1.940	0.515	0.825
