 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C2-multichannel	20.703	254.082	28.552	245	190	307	2185.224	1370.714	0.797	257	1.699	0.589	0.867
2	C2-multichannel	90.838	315.623	78.134	363	181	523	2493.483	1375.479	0.752	305	1.435	0.697	0.890
3	C2-multichannel	3.803	267.444	17.023	247	247	304	2121.514	1375.002	1.000	268	1.340	0.746	0.857
4	C2-multichannel	103.513	375.780	150.174	229	168	870	2273.844	1387.017	0.767	326	1.667	0.600	0.894
5	C2-multichannel	3.803	271.667	22.710	258	234	303	2508.033	1387.448	1.000	266	1.000	1.000	1.000
6	C2-multichannel	3.803	251.889	22.811	248	225	301	2135.289	1391.247	1.000	248	1.817	0.550	0.857
7	C2-multichannel	14.365	238.471	16.696	231	212	285	2067.678	1393.471	0.834	239	1.507	0.663	0.810
8	C2-multichannel	26.618	321.651	74.951	248	206	490	2046.108	1395.809	0.966	302	1.394	0.717	0.913
9	C2-multichannel	36.758	334.333	98.744	258	197	570	2314.756	1398.841	0.815	297	2.041	0.490	0.916
10	C2-multichannel	5.070	233.917	16.262	222	214	269	2246.517	1403.454	0.539	232	2.182	0.458	0.686
11	C2-multichannel	20.280	232.750	17.852	237	185	282	2409.458	1408.703	0.347	234	2.185	0.458	0.539
12	C2-multichannel	26.618	302.571	73.744	224	187	495	2372.172	1418.543	0.892	289	1.206	0.830	0.875
13	C2-multichannel	1.690	329.500	52.265	274	274	378	1987.704	1432.557	1.000	370	1.000	1.000	1.000
14	C2-multichannel	34.645	336.841	111.188	219	191	610	2145.017	1438.175	0.872	298	1.164	0.859	0.901
15	C2-multichannel	18.590	249.455	20.677	260	206	305	2439.317	1438.483	0.703	249	2.680	0.373	0.815
16	C2-multichannel	40.138	340.432	113.586	240	181	624	2223.320	1439.649	0.723	317	2.314	0.432	0.900
17	C2-multichannel	58.728	264.576	39.460	238	202	368	2455.416	1454.340	0.647	260	2.642	0.378	0.861
18	C2-multichannel	9.295	238.727	31.273	198	198	309	2287.492	1459.610	0.768	236	1.893	0.528	0.815
19	C2-multichannel	18.168	243.628	21.089	215	209	281	2465.792	1460.315	1.000	244	1.184	0.845	0.905
20	C2-multichannel	16.900	274.150	54.701	197	197	415	2169.637	1464.504	0.845	257	2.084	0.480	0.870
21	C2-multichannel	67.600	262.925	37.893	239	196	391	2473.226	1466.558	0.656	257	2.349	0.426	0.853
22	C2-multichannel	27.885	283.333	51.102	231	206	457	2294.169	1465.006	0.517	273	3.178	0.315	0.805
23	C2-multichannel	59.573	333.149	124.493	281	165	797	2031.393	1471.694	0.455	299	1.887	0.530	0.660
24	C2-multichannel	127.595	321.063	98.970	233	176	610	2488.860	1474.893	0.626	290	1.777	0.563	0.857
25	C2-multichannel	11.830	250.750	24.289	244	209	298	2083.398	1470.754	0.800	251	1.821	0.549	0.824
26	C2-multichannel	95.063	299.551	53.073	307	179	440	2381.749	1474.925	0.766	298	1.868	0.535	0.895
27	C2-multichannel	37.603	270.124	41.915	257	198	374	2320.514	1472.790	0.485	265	4.011	0.249	0.817
28	C2-multichannel	14.788	236.000	15.469	240	197	272	2078.142	1474.312	0.705	235	2.687	0.372	0.833
29	C2-multichannel	42.250	262.440	33.079	249	205	344	2336.414	1475.105	0.361	258	6.179	0.162	0.837
30	C2-multichannel	117.878	280.161	50.002	281	182	513	2366.732	1479.419	0.575	274	1.967	0.508	0.819
31	C2-multichannel	118.723	340.630	90.643	233	192	568	2536.479	1478.722	0.790	318	1.525	0.656	0.917
32	C2-multichannel	61.263	264.028	41.858	240	194	386	2185.577	1482.968	0.352	253	5.328	0.188	0.713
33	C2-multichannel	5.915	232.071	14.291	220	216	262	2072.608	1477.048	0.911	227	1.789	0.559	0.848
34	C2-multichannel	120.835	361.087	106.172	256	179	727	2549.411	1482.768	0.827	355	1.440	0.695	0.912
35	C2-multichannel	18.168	252.860	28.640	212	212	335	2025.340	1482.907	0.699	254	2.027	0.493	0.804
36	C2-multichannel	22.815	302.981	76.790	187	187	487	2058.452	1487.852	0.782	289	1.386	0.722	0.850
37	C2-multichannel	63.375	307.040	74.586	320	194	591	2051.768	1491.532	0.738	293	1.965	0.509	0.882
38	C2-multichannel	68.023	298.093	66.917	228	181	482	2419.785	1492.005	0.470	287	3.876	0.258	0.824
39	C2-multichannel	319.833	267.206	38.798	268	182	391	1951.428	1500.688	0.586	261	1.837	0.544	0.869
40	C2-multichannel	141.960	308.423	85.278	240	178	602	2203.515	1498.821	0.470	290	3.023	0.331	0.713
41	C2-multichannel	8.028	259.526	47.508	276	183	374	2515.535	1491.204	1.000	250	1.491	0.671	0.884
42	C2-multichannel	24.505	266.948	38.662	242	189	351	2467.536	1509.885	0.580	259	2.992	0.334	0.800
43	C2-multichannel	8.028	283.789	42.699	279	226	369	2658.020	1513.475	0.556	279	3.311	0.302	0.776
44	C2-multichannel	20.280	259.896	33.619	260	189	338	2474.465	1515.628	0.754	260	2.398	0.417	0.807
45	C2-multichannel	151.255	388.939	154.670	203	172	961	2673.232	1523.556	0.459	357	1.640	0.610	0.723
46	C2-multichannel	1.690	235.000	17.029	213	213	252	2054.340	1516.454	1.000	244	2.031	0.492	0.800
47	C2-multichannel	5.915	232.643	14.867	200	200	262	1945.711	1517.236	0.647	232	2.821	0.355	0.800
48	C2-multichannel	10.140	255.083	27.639	239	187	314	2479.495	1519.986	0.560	259	2.592	0.386	0.727
49	C2-multichannel	1.268	239.333	9.815	245	228	245	1946.632	1519.597	1.000	245	1.464	0.683	0.857
50	C2-multichannel	3.380	247.750	14.656	230	230	269	2060.579	1520.268	0.785	253	2.464	0.406	0.727
51	C2-multichannel	57.460	432.441	161.717	213	189	802	2793.226	1525.035	0.919	427	1.134	0.881	0.904
52	C2-multichannel	98.865	441.632	199.969	258	178	1050	2625.797	1525.748	0.809	400	1.897	0.527	0.927
53	C2-multichannel	9.718	248.000	25.854	232	205	297	2067.208	1524.505	0.608	242	3.094	0.323	0.742
54	C2-multichannel	2.958	239.000	29.046	199	199	287	1934.076	1528.470	1.000	233	1.596	0.626	0.875
55	C2-multichannel	1.268	250.333	20.551	237	237	274	2072.321	1529.333	1.000	240	1.464	0.683	0.857
56	C2-multichannel	5.070	270.833	51.884	194	194	352	2075.280	1533.272	1.000	277	1.281	0.780	0.857
57	C2-multichannel	47.320	331.143	92.822	192	189	550	2165.938	1537.905	0.778	324	2.207	0.453	0.868
58	C2-multichannel	4.225	252.100	36.852	233	215	327	2077.825	1536.599	0.887	241	1.864	0.537	0.800
59	C2-multichannel	7.605	264.667	44.638	182	182	344	2080.623	1541.142	0.965	266	1.857	0.538	0.900
60	C2-multichannel	23.238	260.636	36.459	281	197	344	2083.638	1548.452	0.522	261	3.727	0.268	0.821
61	C2-multichannel	106.048	304.793	78.323	228	155	524	2298.306	1551.983	0.387	292	3.530	0.283	0.711
62	C2-multichannel	545.448	292.687	94.055	259	173	811	2891.309	1566.732	0.658	259	1.158	0.863	0.839
