 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C3-multichannel	8.873	206.429	102.605	255	0	255	3441.120	772.449	0.943	255	1.646	0.608	0.875
2	C3-multichannel	12.675	255.000	0.000	255	255	255	3434.948	779.849	1.000	255	1.416	0.706	0.938
3	C3-multichannel	16.478	137.308	128.784	255	0	255	3396.948	795.182	0.883	255	1.711	0.585	0.876
4	C3-multichannel	30.420	7.083	42.200	0	0	255	3511.626	802.750	0.564	0	1.079	0.927	0.713
5	C3-multichannel	23.660	104.732	126.586	0	0	255	3467.115	834.841	0.873	0	1.534	0.652	0.918
6	C3-multichannel	4.648	92.727	128.654	0	0	255	3732.789	862.225	0.976	0	1.714	0.583	0.846
7	C3-multichannel	11.408	236.111	68.054	255	0	255	3375.646	866.905	0.566	255	3.913	0.256	0.900
8	C3-multichannel	31.688	0.000	0.000	0	0	0	3699.970	897.213	0.408	0	3.091	0.324	0.688
9	C3-multichannel	19.435	44.348	97.722	0	0	255	3865.226	894.725	0.705	0	1.736	0.576	0.807
10	C3-multichannel	7.183	0.000	0.000	0	0	0	3778.738	896.293	1.000	0	1.497	0.668	0.919
11	C3-multichannel	12.253	149.483	127.814	255	0	255	3774.265	897.478	1.000	255	1.373	0.728	0.921
12	C3-multichannel	11.830	0.000	0.000	0	0	0	3868.151	901.504	0.634	0	2.127	0.470	0.737
13	C3-multichannel	22.393	76.981	118.185	0	0	255	3342.179	907.116	0.563	0	3.181	0.314	0.822
14	C3-multichannel	3.380	0.000	0.000	0	0	0	3495.295	911.788	0.914	0	1.939	0.516	0.842
15	C3-multichannel	5.070	0.000	0.000	0	0	0	3542.718	911.679	1.000	0	1.579	0.633	0.889
16	C3-multichannel	12.675	170.000	122.263	255	0	255	3978.164	913.413	0.952	255	1.507	0.664	0.938
17	C3-multichannel	40.983	55.206	105.569	0	0	255	3488.660	918.497	0.738	0	2.022	0.494	0.882
18	C3-multichannel	5.915	0.000	0.000	0	0	0	3817.498	921.979	0.629	0	2.622	0.381	0.718
19	C3-multichannel	13.943	0.000	0.000	0	0	0	3687.520	928.013	0.803	0	1.809	0.553	0.868
20	C3-multichannel	9.718	144.130	129.252	255	0	255	3604.126	929.575	0.756	255	2.225	0.449	0.807
21	C3-multichannel	2.113	0.000	0.000	0	0	0	3928.406	928.915	1.000	0	1.553	0.644	0.909
22	C3-multichannel	6.338	119.000	131.681	0	0	255	3410.876	932.425	0.976	0	1.216	0.822	0.882
23	C3-multichannel	108.160	0.000	0.000	0	0	0	3710.090	944.712	0.480	0	4.407	0.227	0.843
24	C3-multichannel	16.900	165.750	123.177	255	0	255	3634.351	941.425	0.650	255	2.501	0.400	0.755
25	C3-multichannel	4.648	0.000	0.000	0	0	0	3902.454	939.575	0.887	0	1.714	0.583	0.846
26	C3-multichannel	34.223	239.259	61.751	255	0	255	5020.978	942.663	0.923	255	1.322	0.756	0.900
27	C3-multichannel	14.788	0.000	0.000	0	0	0	3894.179	942.992	0.673	0	1.670	0.599	0.805
28	C3-multichannel	21.125	244.800	50.477	255	0	255	3344.481	945.534	0.793	255	1.947	0.514	0.885
29	C3-multichannel	35.068	147.470	126.692	255	0	255	4939.961	951.424	0.777	255	1.875	0.533	0.878
30	C3-multichannel	5.070	0.000	0.000	0	0	0	3461.468	951.221	1.000	0	1.579	0.633	0.889
31	C3-multichannel	13.520	0.000	0.000	0	0	0	4807.483	959.441	0.914	0	1.834	0.545	0.853
32	C3-multichannel	1.690	0.000	0.000	0	0	0	4811.952	959.400	1.000	0	1.000	1.000	1.000
33	C3-multichannel	7.183	255.000	0.000	255	255	255	4976.459	964.199	1.000	255	1.263	0.792	0.919
34	C3-multichannel	35.913	42.000	95.145	0	0	255	6456.870	978.436	0.720	0	1.684	0.594	0.794
35	C3-multichannel	16.055	214.737	94.232	255	0	255	4862.631	977.418	0.924	255	1.182	0.846	0.884
36	C3-multichannel	5.915	255.000	0.000	255	255	255	3350.473	978.390	0.811	255	1.156	0.865	0.757
37	C3-multichannel	30.420	0.000	0.000	0	0	0	4736.434	979.875	0.498	0	3.530	0.283	0.774
38	C3-multichannel	26.195	172.742	120.176	255	0	255	5097.101	982.321	0.375	255	2.480	0.403	0.608
39	C3-multichannel	5.493	255.000	0.000	255	255	255	3534.376	982.925	0.697	255	2.652	0.377	0.765
40	C3-multichannel	45.208	247.850	42.293	255	0	255	5221.802	985.388	0.732	255	1.303	0.767	0.849
41	C3-multichannel	64.643	248.333	40.822	255	0	255	5424.677	989.778	0.729	255	1.950	0.513	0.872
42	C3-multichannel	24.505	0.000	0.000	0	0	0	4028.051	992.999	0.705	0	2.618	0.382	0.935
43	C3-multichannel	13.520	127.500	129.540	0	0	255	5236.727	1001.650	0.820	255	1.519	0.658	0.821
44	C3-multichannel	2.535	0.000	0.000	0	0	0	3607.068	1005.767	1.000	0	1.291	0.775	0.800
45	C3-multichannel	40.560	0.000	0.000	0	0	0	4784.442	1008.001	0.929	0	1.582	0.632	0.914
46	C3-multichannel	3.380	0.000	0.000	0	0	0	3975.158	1007.663	0.914	0	1.939	0.516	0.842
47	C3-multichannel	16.055	13.421	57.705	0	0	255	3611.401	1009.125	0.819	0	2.161	0.463	0.874
48	C3-multichannel	26.195	160.403	124.187	255	0	255	3300.076	1014.425	0.288	255	4.878	0.205	0.701
49	C3-multichannel	9.718	0.000	0.000	0	0	0	3965.326	1014.156	0.657	0	2.710	0.369	0.767
50	C3-multichannel	14.788	21.857	72.427	0	0	255	6327.211	1018.009	0.878	0	1.649	0.607	0.864
51	C3-multichannel	45.630	210.139	97.546	255	0	255	6450.489	1023.696	0.498	255	3.908	0.256	0.821
52	C3-multichannel	4.648	0.000	0.000	0	0	0	3643.754	1021.416	0.887	0	1.892	0.528	0.880
53	C3-multichannel	1.268	0.000	0.000	0	0	0	3882.126	1021.475	0.967	0	3.000	0.333	1.000
54	C3-multichannel	26.618	145.714	127.206	255	0	255	5115.448	1026.224	0.892	255	1.576	0.635	0.887
55	C3-multichannel	9.718	0.000	0.000	0	0	0	3879.526	1025.545	0.622	0	2.384	0.419	0.719
56	C3-multichannel	24.083	49.211	101.528	0	0	255	3332.463	1027.384	0.735	0	1.741	0.574	0.792
57	C3-multichannel	10.985	0.000	0.000	0	0	0	6801.302	1030.750	0.633	0	2.656	0.377	0.776
58	C3-multichannel	8.450	178.500	119.891	255	0	255	6795.195	1034.104	0.657	255	2.836	0.353	0.755
59	C3-multichannel	23.660	0.000	0.000	0	0	0	4102.117	1035.323	0.853	0	1.676	0.597	0.918
60	C3-multichannel	1.268	0.000	0.000	0	0	0	3941.710	1033.609	1.000	0	1.464	0.683	0.857
61	C3-multichannel	28.730	0.000	0.000	0	0	0	6756.810	1036.980	0.393	0	4.636	0.216	0.712
62	C3-multichannel	8.450	12.750	57.020	0	0	255	6746.677	1035.125	0.838	0	1.485	0.673	0.816
63	C3-multichannel	14.365	60.000	109.793	0	0	255	4811.058	1037.644	0.509	0	2.843	0.352	0.773
64	C3-multichannel	5.070	0.000	0.000	0	0	0	6733.082	1037.021	0.967	0	1.939	0.516	0.889
65	C3-multichannel	5.493	0.000	0.000	0	0	0	3694.176	1038.475	0.779	0	2.286	0.437	0.867
66	C3-multichannel	5.493	19.615	70.724	0	0	255	6776.577	1039.675	1.000	0	1.148	0.871	0.897
67	C3-multichannel	1.268	0.000	0.000	0	0	0	6765.744	1040.109	1.000	0	1.464	0.683	0.857
68	C3-multichannel	2.535	0.000	0.000	0	0	0	3934.451	1041.625	1.000	0	1.500	0.667	1.000
69	C3-multichannel	22.815	56.667	107.009	0	0	255	4894.123	1044.930	0.735	0	1.519	0.658	0.783
70	C3-multichannel	2.958	0.000	0.000	0	0	0	4890.277	1042.275	1.000	0	1.596	0.626	0.875
71	C3-multichannel	21.125	0.000	0.000	0	0	0	3926.209	1045.200	0.524	0	3.581	0.279	0.730
72	C3-multichannel	25.773	41.803	95.189	0	0	255	4043.001	1046.825	0.770	0	1.869	0.535	0.859
73	C3-multichannel	29.153	66.522	112.793	0	0	255	5239.110	1046.681	0.876	0	1.469	0.681	0.852
74	C3-multichannel	8.450	0.000	0.000	0	0	0	3665.611	1045.850	0.925	0	1.507	0.664	0.909
75	C3-multichannel	16.900	159.375	125.024	255	0	255	3356.692	1048.697	0.973	255	1.023	0.978	0.920
76	C3-multichannel	62.108	150.918	125.759	255	0	255	3920.402	1055.320	0.627	255	2.091	0.478	0.835
77	C3-multichannel	2.113	0.000	0.000	0	0	0	3927.756	1047.865	1.000	0	1.553	0.644	0.909
78	C3-multichannel	28.730	60.000	108.971	0	0	255	4153.298	1050.319	0.864	0	1.835	0.545	0.877
79	C3-multichannel	16.900	191.250	111.825	255	0	255	6561.644	1051.505	0.456	255	4.607	0.217	0.748
80	C3-multichannel	32.955	0.000	0.000	0	0	0	6898.111	1050.792	0.555	0	2.836	0.353	0.825
81	C3-multichannel	12.675	153.000	127.060	255	0	255	5121.785	1052.567	0.857	255	1.143	0.875	0.811
82	C3-multichannel	13.520	87.656	123.052	0	0	255	5488.041	1055.275	0.404	0	3.123	0.320	0.667
83	C3-multichannel	51.123	0.000	0.000	0	0	0	6323.205	1055.404	0.423	0	2.402	0.416	0.678
84	C3-multichannel	19.013	0.000	0.000	0	0	0	6311.481	1054.900	0.702	0	2.678	0.373	0.841
85	C3-multichannel	7.183	0.000	0.000	0	0	0	3659.559	1055.352	1.000	0	1.263	0.792	0.919
86	C3-multichannel	8.873	48.571	102.605	0	0	255	5121.352	1055.275	1.000	0	1.318	0.759	0.857
87	C3-multichannel	6.338	0.000	0.000	0	0	0	5331.410	1055.925	0.723	0	2.181	0.458	0.732
88	C3-multichannel	8.873	0.000	0.000	0	0	0	3537.781	1056.823	0.824	0	1.920	0.521	0.875
89	C3-multichannel	54.925	17.654	64.981	0	0	255	6307.133	1062.064	0.407	0	2.652	0.377	0.660
90	C3-multichannel	9.718	0.000	0.000	0	0	0	5022.227	1060.080	0.657	0	2.919	0.343	0.742
91	C3-multichannel	26.195	0.000	0.000	0	0	0	6335.993	1063.191	0.461	0	3.875	0.258	0.717
