 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C3-multichannel	77.740	255.000	0.000	255	255	255	5080.910	1754.538	0.927	255	1.314	0.761	0.927
2	C3-multichannel	46.898	255.000	0.000	255	255	255	4457.312	1870.311	0.994	255	1.170	0.855	0.929
3	C3-multichannel	21.548	0.000	0.000	0	0	0	3948.745	1884.179	0.897	0	1.490	0.671	0.927
4	C3-multichannel	2.113	0.000	0.000	0	0	0	3467.946	1907.816	1.000	0	1.553	0.644	0.909
5	C3-multichannel	13.098	255.000	0.000	255	255	255	3551.654	1912.332	1.000	255	1.058	0.945	0.925
6	C3-multichannel	36.335	0.000	0.000	0	0	0	4193.983	1920.290	0.604	0	3.194	0.313	0.851
7	C3-multichannel	5.493	0.000	0.000	0	0	0	4034.476	1940.326	1.000	0	1.159	0.863	0.897
8	C3-multichannel	18.590	0.000	0.000	0	0	0	3703.568	1955.437	0.809	0	2.076	0.482	0.917
9	C3-multichannel	16.478	0.000	0.000	0	0	0	3415.360	1961.226	0.865	0	1.859	0.538	0.830
10	C3-multichannel	27.463	0.000	0.000	0	0	0	3665.656	1990.956	0.601	0	2.773	0.361	0.818
11	C3-multichannel	862.323	36.232	89.052	0	0	255	4239.584	2018.502	0.550	0	1.853	0.540	0.844
12	C3-multichannel	16.900	0.000	0.000	0	0	0	4643.602	1996.979	0.906	0	1.658	0.603	0.889
13	C3-multichannel	1.690	127.500	147.224	0	0	255	4129.451	2001.351	1.000	255	2.031	0.492	0.800
14	C3-multichannel	3.803	0.000	0.000	0	0	0	3440.415	2026.159	1.000	0	1.536	0.651	0.857
15	C3-multichannel	1.690	63.750	127.500	0	0	255	3347.826	2035.476	1.000	0	1.000	1.000	1.000
16	C3-multichannel	21.548	0.000	0.000	0	0	0	3943.035	2044.091	0.844	0	1.882	0.531	0.903
17	C3-multichannel	4.648	0.000	0.000	0	0	0	4093.140	2059.467	1.000	0	1.372	0.729	0.957
18	C3-multichannel	302.933	87.134	121.026	0	0	255	4064.026	2074.173	0.483	0	3.293	0.304	0.842
19	C3-multichannel	11.408	0.000	0.000	0	0	0	4376.945	2070.215	0.910	0	1.361	0.735	0.871
20	C3-multichannel	39.293	0.000	0.000	0	0	0	3185.221	2073.406	0.654	0	2.590	0.386	0.830
21	C3-multichannel	33.378	0.000	0.000	0	0	0	3282.884	2073.842	0.775	0	1.848	0.541	0.878
22	C3-multichannel	186.745	28.269	80.150	0	0	255	4053.222	2078.230	0.744	0	1.826	0.548	0.924
23	C3-multichannel	260.260	0.000	0.000	0	0	0	5550.525	2084.040	0.713	0	1.089	0.918	0.883
24	C3-multichannel	90.415	0.000	0.000	0	0	0	5556.563	2098.471	0.785	0	1.513	0.661	0.873
25	C3-multichannel	49.433	0.000	0.000	0	0	0	5566.338	2097.442	0.842	0	1.073	0.932	0.897
26	C3-multichannel	1.690	0.000	0.000	0	0	0	4219.151	2106.651	1.000	0	1.000	1.000	1.000
