 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C3-multichannel	1.268	255.000	0.000	255	255	255	4438.743	1637.892	1.000	255	1.464	0.683	0.857
2	C3-multichannel	74.360	255.000	0.000	255	255	255	4081.189	1668.244	0.510	255	3.022	0.331	0.798
3	C3-multichannel	42.250	0.000	0.000	0	0	0	4277.541	1668.109	0.731	0	2.000	0.500	0.858
4	C3-multichannel	13.098	32.903	86.898	0	0	255	4093.376	1670.176	0.858	0	1.524	0.656	0.886
5	C3-multichannel	8.450	255.000	0.000	255	255	255	4434.367	1678.301	0.994	255	1.429	0.700	0.909
6	C3-multichannel	44.785	255.000	0.000	255	255	255	4394.026	1683.323	0.766	255	1.095	0.914	0.835
7	C3-multichannel	15.633	255.000	0.000	255	255	255	4374.071	1683.913	0.746	255	2.281	0.438	0.841
8	C3-multichannel	57.883	255.000	0.000	255	255	255	4383.481	1686.274	0.638	255	1.784	0.560	0.840
9	C3-multichannel	19.435	216.196	92.605	255	0	255	4302.827	1686.042	0.885	255	1.235	0.810	0.868
10	C3-multichannel	9.295	255.000	0.000	255	255	255	4420.799	1686.101	1.000	255	1.459	0.685	0.957
11	C3-multichannel	6.760	255.000	0.000	255	255	255	4471.514	1705.641	0.690	255	2.564	0.390	0.889
12	C3-multichannel	16.900	255.000	0.000	255	255	255	4472.993	1711.256	0.553	255	2.421	0.413	0.777
13	C3-multichannel	22.815	255.000	0.000	255	255	255	4237.664	1710.608	0.647	255	2.691	0.372	0.824
14	C3-multichannel	24.505	246.207	46.935	255	0	255	4228.193	1712.484	0.638	255	2.927	0.342	0.866
15	C3-multichannel	43.518	255.000	0.000	255	255	255	4195.660	1716.414	0.386	255	5.038	0.198	0.755
16	C3-multichannel	1.268	0.000	0.000	0	0	0	4484.893	1714.159	1.000	0	1.464	0.683	0.857
17	C3-multichannel	21.970	255.000	0.000	255	255	255	4055.664	1717.138	0.939	255	1.314	0.761	0.897
18	C3-multichannel	21.548	255.000	0.000	255	255	255	4475.080	1721.717	0.457	255	2.395	0.418	0.675
19	C3-multichannel	4.225	255.000	0.000	255	255	255	4482.727	1719.706	1.000	255	1.236	0.809	0.909
20	C3-multichannel	11.408	255.000	0.000	255	255	255	3970.069	1743.939	0.630	255	3.254	0.307	0.761
21	C3-multichannel	35.913	195.000	108.808	255	0	255	3921.496	1757.076	0.786	255	1.894	0.528	0.863
22	C3-multichannel	29.153	255.000	0.000	255	255	255	3946.476	1761.826	1.000	255	1.000	1.000	0.945
23	C3-multichannel	55.770	168.068	121.334	255	0	255	4241.786	1766.114	0.506	255	4.042	0.247	0.825
24	C3-multichannel	32.955	205.962	101.149	255	0	255	4060.649	1767.882	0.858	255	1.753	0.571	0.918
25	C3-multichannel	38.025	255.000	0.000	255	255	255	4472.767	1778.235	0.369	255	4.165	0.240	0.655
26	C3-multichannel	28.308	213.134	95.175	255	0	255	4306.193	1783.264	0.927	255	1.351	0.740	0.944
27	C3-multichannel	70.558	255.000	0.000	255	255	255	4417.941	1785.292	0.703	255	1.407	0.711	0.893
28	C3-multichannel	103.935	252.927	22.946	255	0	255	4331.572	1787.674	0.821	255	1.295	0.772	0.890
29	C3-multichannel	21.548	255.000	0.000	255	255	255	4408.079	1784.894	0.881	255	1.503	0.665	0.864
30	C3-multichannel	5.493	255.000	0.000	255	255	255	4441.577	1785.176	0.922	255	1.145	0.874	0.812
31	C3-multichannel	36.335	255.000	0.000	255	255	255	4426.328	1788.067	0.960	255	1.151	0.869	0.950
32	C3-multichannel	34.645	255.000	0.000	255	255	255	4307.591	1789.633	0.872	255	1.425	0.702	0.901
33	C3-multichannel	35.068	255.000	0.000	255	255	255	4437.845	1789.635	0.777	255	1.417	0.706	0.865
34	C3-multichannel	38.448	255.000	0.000	255	255	255	4444.855	1791.083	0.905	255	1.248	0.801	0.938
35	C3-multichannel	24.083	255.000	0.000	255	255	255	4157.384	1801.863	0.551	255	1.328	0.753	0.699
36	C3-multichannel	52.390	164.516	122.503	255	0	255	4338.199	1804.466	0.405	255	5.142	0.194	0.795
37	C3-multichannel	24.928	255.000	0.000	255	255	255	4474.574	1808.064	0.790	255	1.618	0.618	0.837
38	C3-multichannel	24.505	255.000	0.000	255	255	255	4079.738	1808.693	0.943	255	1.312	0.762	0.879
39	C3-multichannel	4.648	255.000	0.000	255	255	255	4028.317	1809.453	0.887	255	1.892	0.528	0.880
40	C3-multichannel	11.830	255.000	0.000	255	255	255	3978.489	1811.597	0.943	255	1.346	0.743	0.903
41	C3-multichannel	11.408	66.111	113.877	0	0	255	4126.898	1818.747	0.747	0	2.059	0.486	0.871
42	C3-multichannel	25.350	255.000	0.000	255	255	255	3823.052	1820.640	0.898	255	1.378	0.726	0.902
43	C3-multichannel	1.690	255.000	0.000	255	255	255	4479.152	1819.351	1.000	255	1.000	1.000	1.000
44	C3-multichannel	37.180	255.000	0.000	255	255	255	4477.394	1832.868	0.799	255	1.722	0.581	0.880
45	C3-multichannel	16.478	255.000	0.000	255	255	255	4503.443	1836.692	0.949	255	1.718	0.582	0.940
46	C3-multichannel	41.828	255.000	0.000	255	255	255	3956.653	1842.872	0.809	255	1.404	0.712	0.872
47	C3-multichannel	38.025	255.000	0.000	255	255	255	4240.053	1847.387	0.492	255	3.547	0.282	0.773
48	C3-multichannel	19.435	255.000	0.000	255	255	255	4108.651	1847.428	0.447	255	4.529	0.221	0.742
49	C3-multichannel	9.718	255.000	0.000	255	255	255	4527.577	1845.365	0.756	255	1.553	0.644	0.793
50	C3-multichannel	31.688	0.000	0.000	0	0	0	4338.635	1855.712	0.358	0	6.174	0.162	0.877
51	C3-multichannel	17.745	151.786	126.683	255	0	255	4211.676	1865.150	1.000	255	1.298	0.770	0.903
52	C3-multichannel	32.533	255.000	0.000	255	255	255	4337.650	1871.034	0.430	255	2.298	0.435	0.730
53	C3-multichannel	29.998	57.465	107.301	0	0	255	4577.708	1877.038	0.421	0	2.280	0.439	0.637
54	C3-multichannel	31.265	192.973	110.152	255	0	255	3744.164	1884.966	0.693	255	1.795	0.557	0.827
55	C3-multichannel	40.560	217.812	90.472	255	0	255	4356.983	1884.232	0.690	255	2.166	0.462	0.881
56	C3-multichannel	33.378	135.570	128.057	255	0	255	4364.643	1883.824	0.682	255	2.427	0.412	0.893
57	C3-multichannel	56.193	113.120	127.165	0	0	255	3937.002	1887.353	0.717	0	1.452	0.689	0.861
58	C3-multichannel	14.365	0.000	0.000	0	0	0	4375.534	1884.790	0.827	0	2.041	0.490	0.861
59	C3-multichannel	32.110	255.000	0.000	255	255	255	4083.413	1888.678	0.681	255	2.424	0.413	0.849
60	C3-multichannel	27.463	204.000	102.794	255	0	255	4349.664	1888.676	0.705	255	1.368	0.731	0.812
61	C3-multichannel	2.535	170.000	131.681	255	0	255	4345.902	1886.626	1.000	255	1.500	0.667	1.000
62	C3-multichannel	30.420	216.042	92.386	255	0	255	3856.286	1890.323	0.895	255	1.455	0.687	0.894
63	C3-multichannel	35.913	69.000	113.960	0	0	255	4336.872	1891.232	0.491	0	3.317	0.302	0.837
64	C3-multichannel	3.380	63.750	118.042	0	0	255	3755.051	1891.176	1.000	0	1.229	0.814	0.941
65	C3-multichannel	24.083	58.158	107.946	0	0	255	4283.926	1893.376	0.724	0	2.268	0.441	0.826
66	C3-multichannel	29.575	0.000	0.000	0	0	0	4329.094	1898.976	0.549	0	3.361	0.298	0.838
67	C3-multichannel	81.543	223.290	84.365	255	0	255	4416.688	1901.922	0.766	255	1.927	0.519	0.908
68	C3-multichannel	22.815	250.278	34.701	255	0	255	3839.913	1903.293	0.712	255	2.395	0.417	0.800
69	C3-multichannel	24.083	255.000	0.000	255	255	255	4233.446	1905.989	0.495	255	3.255	0.307	0.770
70	C3-multichannel	32.955	170.000	120.986	255	0	255	4326.414	1910.726	0.577	255	2.816	0.355	0.800
71	C3-multichannel	16.055	255.000	0.000	255	255	255	3925.215	1915.157	0.529	255	3.204	0.312	0.724
72	C3-multichannel	31.265	255.000	0.000	255	255	255	3933.529	1920.092	0.557	255	3.455	0.289	0.804
73	C3-multichannel	107.738	130.000	127.726	255	0	255	4422.547	1932.511	0.411	255	2.849	0.351	0.776
74	C3-multichannel	16.478	255.000	0.000	255	255	255	3938.510	1926.909	1.000	255	1.300	0.769	0.907
75	C3-multichannel	20.703	255.000	0.000	255	255	255	4053.328	1930.587	0.693	255	2.330	0.429	0.838
76	C3-multichannel	29.998	0.000	0.000	0	0	0	4522.285	1932.876	0.475	0	1.653	0.605	0.686
77	C3-multichannel	48.588	226.174	81.098	255	0	255	4204.195	1934.197	0.851	255	1.388	0.720	0.906
78	C3-multichannel	92.528	175.822	118.259	255	0	255	4434.420	1936.370	0.788	255	1.942	0.515	0.909
79	C3-multichannel	29.153	155.217	125.363	255	0	255	4161.410	1934.834	0.699	255	1.872	0.534	0.780
80	C3-multichannel	17.323	174.146	120.135	255	0	255	4125.041	1936.258	0.884	255	1.640	0.610	0.901
81	C3-multichannel	39.715	236.011	67.304	255	0	255	3993.926	1940.366	0.892	255	1.806	0.554	0.931
82	C3-multichannel	20.703	255.000	0.000	255	255	255	4188.250	1940.443	0.988	255	1.306	0.765	0.916
83	C3-multichannel	29.153	206.957	100.445	255	0	255	3944.468	1942.352	0.748	255	2.161	0.463	0.857
84	C3-multichannel	8.873	206.429	102.605	255	0	255	4450.991	1940.499	0.614	255	3.313	0.302	0.792
85	C3-multichannel	19.858	119.362	128.616	0	0	255	4315.824	1944.712	0.966	0	1.333	0.750	0.940
86	C3-multichannel	1.268	255.000	0.000	255	255	255	4454.777	1942.526	0.967	255	3.000	0.333	1.000
87	C3-multichannel	12.675	255.000	0.000	255	255	255	4463.075	1944.194	0.877	255	2.073	0.482	0.923
88	C3-multichannel	22.393	255.000	0.000	255	255	255	4475.405	1946.757	0.659	255	2.645	0.378	0.791
89	C3-multichannel	26.618	255.000	0.000	255	255	255	4315.460	1950.068	0.825	255	1.689	0.592	0.887
90	C3-multichannel	19.858	255.000	0.000	255	255	255	4485.493	1949.731	0.947	255	1.298	0.771	0.879
91	C3-multichannel	46.053	247.982	41.911	255	0	255	4502.319	1950.399	0.552	255	3.474	0.288	0.855
92	C3-multichannel	2.535	255.000	0.000	255	255	255	4404.618	1955.634	1.000	255	1.291	0.775	0.800
93	C3-multichannel	2.113	0.000	0.000	0	0	0	4126.916	1961.896	1.000	0	1.553	0.644	0.909
94	C3-multichannel	28.308	129.403	128.448	255	0	255	4507.235	1969.386	0.892	255	1.631	0.613	0.937
95	C3-multichannel	43.940	255.000	0.000	255	255	255	3771.826	1970.557	0.692	255	2.017	0.496	0.870
96	C3-multichannel	28.730	255.000	0.000	255	255	255	4193.696	1974.643	0.748	255	1.532	0.653	0.834
97	C3-multichannel	43.940	255.000	0.000	255	255	255	3921.301	1975.882	0.932	255	1.463	0.683	0.929
98	C3-multichannel	60.840	196.562	107.550	255	0	255	4504.551	1980.290	0.591	255	3.008	0.332	0.870
99	C3-multichannel	17.745	255.000	0.000	255	255	255	4314.686	1978.508	0.906	255	1.460	0.685	0.894
100	C3-multichannel	71.825	255.000	0.000	255	255	255	4575.730	1985.900	0.826	255	1.248	0.802	0.888
