 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C2-multichannel	2.958	331.571	8.284	329	319	345	3473.921	2127.774	1.000	330	1.596	0.626	0.875
2	C2-multichannel	17.323	340.634	35.106	333	272	459	3464.938	2133.008	0.655	340	2.652	0.377	0.820
3	C2-multichannel	8.450	346.700	29.322	340	295	397	3477.602	2163.605	0.784	343	2.271	0.440	0.870
4	C2-multichannel	14.365	329.235	29.641	298	262	395	3097.040	2181.347	0.614	331	2.948	0.339	0.829
5	C2-multichannel	1.690	324.000	31.559	281	281	353	3476.526	2187.900	0.645	341	4.000	0.250	1.000
6	C2-multichannel	5.070	325.667	41.210	268	268	403	3477.167	2191.172	1.000	325	1.333	0.750	1.000
7	C2-multichannel	28.730	364.397	52.723	305	257	486	2135.224	2258.687	0.775	365	1.818	0.550	0.877
8	C2-multichannel	18.168	395.581	53.894	367	277	492	3053.887	2260.385	0.884	390	1.914	0.522	0.935
9	C2-multichannel	1.268	370.333	22.301	345	345	387	2854.924	2260.804	1.000	379	1.464	0.683	0.857
10	C2-multichannel	28.730	340.647	35.633	311	272	447	3506.974	2263.692	0.563	339	3.735	0.268	0.834
11	C2-multichannel	11.830	400.750	84.474	389	248	557	3708.243	2266.853	1.000	395	1.266	0.790	0.966
12	C2-multichannel	9.718	331.174	28.189	342	276	381	2147.683	2268.185	0.878	331	1.687	0.593	0.836
13	C2-multichannel	23.238	379.764	53.882	408	287	534	3717.531	2272.909	0.636	371	2.528	0.396	0.846
14	C2-multichannel	23.238	392.091	60.137	302	284	507	3709.565	2272.006	0.894	392	1.575	0.635	0.880
15	C2-multichannel	18.590	350.477	55.907	322	275	486	2853.659	2276.069	0.568	335	2.067	0.484	0.772
16	C2-multichannel	9.295	351.091	48.832	301	282	475	3785.221	2294.141	1.000	341	1.101	0.908	0.936
17	C2-multichannel	21.548	356.118	39.380	361	268	452	3791.968	2294.879	0.938	353	1.133	0.883	0.911
18	C2-multichannel	6.760	321.562	24.571	340	287	360	3589.603	2297.848	0.857	318	1.930	0.518	0.842
19	C2-multichannel	134.778	594.034	283.096	290	208	1757	3877.936	2309.228	0.411	504	2.413	0.414	0.719
20	C2-multichannel	5.915	384.571	69.207	279	279	580	3876.460	2297.837	1.000	376	1.239	0.807	0.933
21	C2-multichannel	21.548	362.647	41.764	389	287	459	3205.220	2299.540	0.921	368	1.619	0.618	0.919
22	C2-multichannel	12.253	374.069	59.211	405	282	504	3035.866	2300.774	0.829	379	2.079	0.481	0.853
23	C2-multichannel	29.153	433.203	139.715	325	268	918	3597.756	2301.508	0.564	397	2.790	0.358	0.826
24	C2-multichannel	42.250	468.790	171.659	511	220	955	3883.600	2303.054	0.673	444	2.441	0.410	0.847
25	C2-multichannel	35.490	349.214	50.203	311	265	481	3759.526	2303.880	0.453	338	2.106	0.475	0.689
26	C2-multichannel	102.668	616.564	302.136	525	228	1779	3898.205	2309.312	0.573	552	2.623	0.381	0.814
27	C2-multichannel	1.690	410.000	73.217	335	335	500	2678.286	2307.495	1.000	436	2.031	0.492	0.800
28	C2-multichannel	11.408	342.444	31.740	331	281	429	2871.062	2311.578	0.466	338	2.857	0.350	0.675
29	C2-multichannel	1.268	379.000	68.037	302	302	431	2676.130	2309.545	1.000	404	1.464	0.683	0.857
30	C2-multichannel	24.083	345.719	40.663	371	260	459	2876.704	2320.866	0.379	347	3.950	0.253	0.671
31	C2-multichannel	358.703	583.678	225.273	283	228	1551	3911.840	2324.688	0.692	548	1.690	0.592	0.891
32	C2-multichannel	2.535	401.667	62.877	328	328	473	2665.610	2317.572	0.769	437	2.810	0.356	0.750
33	C2-multichannel	10.563	502.040	140.234	307	307	837	2659.080	2322.511	0.774	489	2.092	0.478	0.820
34	C2-multichannel	8.028	344.105	26.547	349	297	396	3279.884	2325.699	0.796	348	1.999	0.500	0.826
35	C2-multichannel	291.103	457.357	181.736	302	184	1142	3928.758	2334.254	0.497	414	1.694	0.590	0.754
36	C2-multichannel	15.633	353.351	33.593	338	296	425	3190.582	2327.323	0.881	353	1.799	0.556	0.881
37	C2-multichannel	14.365	341.471	44.711	298	279	458	3475.138	2331.030	0.719	336	2.438	0.410	0.850
38	C2-multichannel	1.268	343.000	53.861	282	282	384	3053.147	2331.404	1.000	363	1.464	0.683	0.857
39	C2-multichannel	13.520	360.844	47.938	338	270	470	2883.126	2333.572	1.000	358	1.348	0.742	0.889
40	C2-multichannel	34.223	363.605	47.482	311	272	472	3197.013	2338.610	0.500	361	3.658	0.273	0.768
