 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C2-multichannel	72.670	303.727	49.245	256	212	464	3130.965	1008.103	0.776	301	1.292	0.774	0.837
2	C2-multichannel	31.265	269.419	27.456	261	214	343	3053.439	1013.903	0.623	264	2.719	0.368	0.831
3	C2-multichannel	9.295	251.091	12.869	246	225	268	3046.582	1017.864	0.681	251	1.861	0.537	0.772
4	C2-multichannel	14.365	256.529	19.231	245	223	304	2975.293	1018.659	0.625	255	2.544	0.393	0.840
5	C2-multichannel	47.320	277.607	30.720	307	224	349	2953.413	1025.325	0.527	275	2.699	0.370	0.812
6	C2-multichannel	33.800	279.812	29.486	300	219	352	3146.269	1031.887	0.749	280	2.157	0.464	0.889
7	C2-multichannel	39.715	286.979	44.416	243	209	404	3016.326	1042.378	0.643	276	2.133	0.469	0.832
8	C2-multichannel	26.618	284.921	41.045	356	210	379	3155.988	1043.542	0.795	274	1.733	0.577	0.881
9	C2-multichannel	40.560	321.979	75.445	282	214	556	3105.063	1051.870	0.809	308	1.444	0.693	0.889
10	C2-multichannel	19.858	280.681	30.599	293	233	353	2934.033	1052.886	0.904	272	1.446	0.691	0.887
11	C2-multichannel	44.363	276.952	36.992	230	198	370	3235.976	1054.381	0.607	277	2.706	0.370	0.827
12	C2-multichannel	72.248	305.819	43.941	309	202	419	3173.727	1060.711	0.812	303	1.494	0.670	0.914
13	C2-multichannel	46.475	318.527	66.615	251	199	475	2828.586	1072.515	0.740	305	1.408	0.710	0.884
14	C2-multichannel	38.870	290.935	39.004	245	236	425	3246.779	1077.983	0.636	286	2.641	0.379	0.856
15	C2-multichannel	36.758	307.609	54.135	254	204	444	3014.261	1081.976	0.765	309	1.976	0.506	0.888
16	C2-multichannel	20.280	262.146	25.697	249	194	317	2721.246	1081.584	0.749	263	1.797	0.557	0.828
17	C2-multichannel	15.210	266.194	24.106	243	214	321	3243.075	1084.814	0.952	264	1.373	0.729	0.857
18	C2-multichannel	6.338	256.933	17.842	258	219	284	2725.324	1084.779	0.869	258	2.094	0.478	0.811
19	C2-multichannel	27.040	318.578	57.309	248	219	441	3097.616	1087.183	0.998	324	1.264	0.791	0.928
20	C2-multichannel	23.238	274.655	27.298	261	212	343	3168.894	1093.094	0.858	275	1.587	0.630	0.873
21	C2-multichannel	1.268	256.333	4.619	259	251	259	2831.938	1093.194	1.000	259	1.464	0.683	0.857
22	C2-multichannel	21.125	279.700	34.307	227	227	354	2737.030	1102.024	0.864	279	1.687	0.593	0.885
23	C2-multichannel	23.660	258.125	22.122	233	213	318	3251.706	1111.378	0.508	254	2.620	0.382	0.767
24	C2-multichannel	7.183	259.353	28.903	255	209	308	3025.410	1111.551	1.000	255	1.497	0.668	0.919
25	C2-multichannel	25.350	281.550	30.704	264	211	359	3005.923	1114.727	0.849	284	1.661	0.602	0.882
26	C2-multichannel	9.718	254.826	14.668	246	225	273	2835.341	1116.466	0.775	257	2.160	0.463	0.836
27	C2-multichannel	1.690	261.500	20.075	242	242	283	3081.005	1114.749	1.000	274	1.000	1.000	1.000
28	C2-multichannel	8.873	274.000	34.094	280	207	328	2791.139	1118.747	1.000	275	1.475	0.678	0.933
29	C2-multichannel	29.575	307.686	52.031	268	228	441	2903.130	1127.942	0.870	294	1.415	0.707	0.903
30	C2-multichannel	27.040	291.125	38.236	251	219	412	2763.643	1128.291	0.906	290	1.452	0.688	0.914
31	C2-multichannel	21.548	276.431	32.943	259	225	362	2970.273	1129.253	0.963	274	1.458	0.686	0.887
32	C2-multichannel	46.475	331.745	73.151	250	213	480	3223.710	1131.591	0.873	319	1.326	0.754	0.913
33	C2-multichannel	71.403	308.817	61.200	245	213	493	3273.384	1133.166	0.560	298	1.568	0.638	0.741
34	C2-multichannel	19.435	287.630	30.748	313	234	344	2759.994	1134.935	0.868	284	1.625	0.615	0.885
35	C2-multichannel	11.830	251.536	19.068	239	196	290	2832.475	1133.562	0.867	251	1.532	0.653	0.875
36	C2-multichannel	20.280	277.042	25.785	247	235	337	2779.723	1137.254	0.924	273	1.365	0.732	0.906
37	C2-multichannel	4.225	292.000	33.556	241	241	334	2928.136	1136.052	0.982	287	1.241	0.806	0.800
38	C2-multichannel	2.113	252.800	9.628	258	242	263	2904.911	1138.353	1.000	258	1.553	0.644	0.909
39	C2-multichannel	9.718	268.000	32.160	245	218	367	2829.811	1142.808	0.795	264	2.624	0.381	0.979
40	C2-multichannel	7.605	249.556	15.151	243	222	273	2867.443	1143.585	0.687	251	2.610	0.383	0.783
41	C2-multichannel	28.730	284.235	44.279	226	225	415	2833.161	1149.638	0.727	276	2.403	0.416	0.829
42	C2-multichannel	45.208	282.636	32.973	256	214	365	2991.203	1155.372	0.464	284	4.392	0.228	0.808
43	C2-multichannel	40.138	285.211	35.277	242	213	381	3186.768	1157.683	0.932	285	1.367	0.732	0.922
44	C2-multichannel	59.995	301.810	51.286	257	222	434	3077.248	1164.025	0.910	298	1.408	0.710	0.913
45	C2-multichannel	63.375	295.833	45.325	297	192	440	3270.933	1166.650	0.628	293	2.624	0.381	0.857
46	C2-multichannel	2.113	255.800	23.563	232	232	289	2859.934	1164.329	1.000	250	1.553	0.644	0.909
47	C2-multichannel	38.448	251.637	19.074	232	203	298	3179.417	1169.706	0.622	253	1.798	0.556	0.749
48	C2-multichannel	8.028	279.947	40.175	224	224	386	2658.113	1169.980	0.944	276	1.499	0.667	0.905
49	C2-multichannel	29.575	267.900	24.834	262	213	322	2652.605	1175.254	0.545	267	3.891	0.257	0.805
50	C2-multichannel	2.958	261.571	9.090	246	246	274	3155.432	1174.865	1.000	264	1.596	0.626	0.875
51	C2-multichannel	20.703	270.204	30.721	238	214	332	2834.828	1182.695	0.528	267	3.432	0.291	0.860
52	C2-multichannel	21.970	279.808	30.790	276	215	343	2851.930	1183.369	0.584	276	3.192	0.313	0.794
53	C2-multichannel	6.338	264.067	20.055	258	232	297	2798.191	1188.132	0.804	258	1.945	0.514	0.769
