 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C3-multichannel	72.670	255.000	0.000	255	255	255	3130.915	1008.184	0.776	255	1.292	0.774	0.837
2	C3-multichannel	31.265	255.000	0.000	255	255	255	3053.367	1013.939	0.623	255	2.719	0.368	0.831
3	C3-multichannel	9.295	255.000	0.000	255	255	255	3046.581	1017.871	0.681	255	1.861	0.537	0.772
4	C3-multichannel	14.365	255.000	0.000	255	255	255	2975.338	1018.646	0.625	255	2.544	0.393	0.840
5	C3-multichannel	47.320	248.170	41.356	255	0	255	2953.437	1025.250	0.527	255	2.699	0.370	0.812
6	C3-multichannel	33.800	255.000	0.000	255	255	255	3146.285	1031.859	0.749	255	2.157	0.464	0.889
7	C3-multichannel	39.715	255.000	0.000	255	255	255	3016.395	1042.324	0.643	255	2.133	0.469	0.832
8	C3-multichannel	26.618	255.000	0.000	255	255	255	3156.014	1043.513	0.795	255	1.733	0.577	0.881
9	C3-multichannel	40.560	255.000	0.000	255	255	255	3104.902	1051.755	0.809	255	1.444	0.693	0.889
10	C3-multichannel	19.858	255.000	0.000	255	255	255	2934.011	1052.897	0.904	255	1.446	0.691	0.887
11	C3-multichannel	44.363	242.857	54.565	255	0	255	3235.818	1054.463	0.607	255	2.706	0.370	0.827
12	C3-multichannel	72.248	255.000	0.000	255	255	255	3173.691	1060.688	0.812	255	1.494	0.670	0.914
13	C3-multichannel	46.475	255.000	0.000	255	255	255	2828.476	1072.489	0.740	255	1.408	0.710	0.884
14	C3-multichannel	38.870	255.000	0.000	255	255	255	3246.779	1077.884	0.636	255	2.641	0.379	0.856
15	C3-multichannel	36.758	234.483	69.763	255	0	255	3014.230	1082.283	0.765	255	1.976	0.506	0.888
16	C3-multichannel	20.280	255.000	0.000	255	255	255	2721.253	1081.587	0.749	255	1.797	0.557	0.828
17	C3-multichannel	15.210	191.250	111.985	255	0	255	3243.465	1084.429	0.952	255	1.373	0.729	0.857
18	C3-multichannel	6.338	255.000	0.000	255	255	255	2725.343	1084.785	0.869	255	2.094	0.478	0.811
19	C3-multichannel	27.040	255.000	0.000	255	255	255	3097.607	1087.207	0.998	255	1.264	0.791	0.928
20	C3-multichannel	23.238	255.000	0.000	255	255	255	3168.899	1093.105	0.858	255	1.587	0.630	0.873
21	C3-multichannel	1.268	255.000	0.000	255	255	255	2831.943	1093.192	1.000	255	1.464	0.683	0.857
22	C3-multichannel	21.125	255.000	0.000	255	255	255	2736.995	1102.036	0.864	255	1.687	0.593	0.885
23	C3-multichannel	23.660	255.000	0.000	255	255	255	3251.719	1111.384	0.508	255	2.620	0.382	0.767
24	C3-multichannel	7.183	255.000	0.000	255	255	255	3025.388	1111.558	1.000	255	1.497	0.668	0.919
25	C3-multichannel	25.350	255.000	0.000	255	255	255	3005.904	1114.729	0.849	255	1.661	0.602	0.882
26	C3-multichannel	9.718	0.000	0.000	0	0	0	2835.343	1116.460	0.775	0	2.160	0.463	0.836
27	C3-multichannel	1.690	255.000	0.000	255	255	255	3081.001	1114.750	1.000	255	1.000	1.000	1.000
28	C3-multichannel	8.873	206.429	102.605	255	0	255	2791.158	1119.052	1.000	255	1.475	0.678	0.933
29	C3-multichannel	29.575	255.000	0.000	255	255	255	2903.152	1127.880	0.870	255	1.415	0.707	0.903
30	C3-multichannel	27.040	159.375	124.427	255	0	255	2763.866	1128.742	0.906	255	1.452	0.688	0.914
31	C3-multichannel	21.548	205.000	102.250	255	0	255	2970.620	1129.597	0.963	255	1.458	0.686	0.887
32	C3-multichannel	46.475	255.000	0.000	255	255	255	3223.652	1131.591	0.873	255	1.326	0.754	0.913
33	C3-multichannel	71.403	255.000	0.000	255	255	255	3273.065	1133.137	0.560	255	1.568	0.638	0.741
34	C3-multichannel	19.435	249.457	37.598	255	0	255	2760.009	1134.965	0.868	255	1.625	0.615	0.885
35	C3-multichannel	11.830	255.000	0.000	255	255	255	2832.469	1133.577	0.867	255	1.532	0.653	0.875
36	C3-multichannel	20.280	212.500	96.039	255	0	255	2779.433	1136.899	0.924	255	1.365	0.732	0.906
37	C3-multichannel	4.225	255.000	0.000	255	255	255	2928.121	1136.070	0.982	255	1.241	0.806	0.800
38	C3-multichannel	2.113	255.000	0.000	255	255	255	2904.916	1138.345	1.000	255	1.553	0.644	0.909
39	C3-multichannel	9.718	0.000	0.000	0	0	0	2829.804	1142.799	0.795	0	2.624	0.381	0.979
40	C3-multichannel	7.605	127.500	131.196	0	0	255	2866.898	1144.542	0.687	255	2.610	0.383	0.783
41	C3-multichannel	28.730	232.500	72.865	255	0	255	2833.424	1149.850	0.727	255	2.403	0.416	0.829
42	C3-multichannel	45.208	255.000	0.000	255	255	255	2991.231	1155.394	0.464	255	4.392	0.228	0.808
43	C3-multichannel	40.138	255.000	0.000	255	255	255	3186.756	1157.681	0.932	255	1.367	0.732	0.922
44	C3-multichannel	59.995	255.000	0.000	255	255	255	3077.229	1164.013	0.910	255	1.408	0.710	0.913
45	C3-multichannel	63.375	234.600	69.412	255	0	255	3271.202	1167.212	0.628	255	2.624	0.381	0.857
46	C3-multichannel	2.113	0.000	0.000	0	0	0	2859.936	1164.345	1.000	0	1.553	0.644	0.909
47	C3-multichannel	38.448	255.000	0.000	255	255	255	3179.412	1169.697	0.622	255	1.798	0.556	0.749
48	C3-multichannel	8.028	255.000	0.000	255	255	255	2658.073	1169.983	0.944	255	1.499	0.667	0.905
49	C3-multichannel	29.575	255.000	0.000	255	255	255	2652.595	1175.265	0.545	255	3.891	0.257	0.805
50	C3-multichannel	2.958	255.000	0.000	255	255	255	3155.426	1174.875	1.000	255	1.596	0.626	0.875
51	C3-multichannel	20.703	255.000	0.000	255	255	255	2834.817	1182.622	0.528	255	3.432	0.291	0.860
52	C3-multichannel	21.970	255.000	0.000	255	255	255	2851.913	1183.375	0.584	255	3.192	0.313	0.794
53	C3-multichannel	6.338	255.000	0.000	255	255	255	2798.186	1188.135	0.804	255	1.945	0.514	0.769
54	C3-multichannel	7.605	255.000	0.000	255	255	255	3118.882	1188.489	1.000	255	1.094	0.914	0.857
55	C3-multichannel	16.055	255.000	0.000	255	255	255	3241.158	1192.066	0.974	255	1.293	0.774	0.927
56	C3-multichannel	26.618	255.000	0.000	255	255	255	3039.272	1195.614	0.813	255	1.758	0.569	0.863
57	C3-multichannel	19.858	238.723	63.009	255	0	255	3203.112	1195.587	0.871	255	1.586	0.630	0.832
58	C3-multichannel	50.700	163.625	122.788	255	0	255	2945.864	1199.795	0.442	255	2.821	0.354	0.729
59	C3-multichannel	18.590	255.000	0.000	255	255	255	2996.708	1208.572	0.930	255	1.259	0.794	0.871
60	C3-multichannel	47.743	245.973	47.330	255	0	255	2904.353	1212.349	0.886	255	1.477	0.677	0.908
61	C3-multichannel	3.380	255.000	0.000	255	255	255	2934.995	1209.894	1.000	255	1.229	0.814	0.941
62	C3-multichannel	24.505	189.052	112.634	255	0	255	3194.562	1214.102	0.960	255	1.096	0.912	0.913
63	C3-multichannel	38.025	243.667	52.845	255	0	255	2926.762	1218.652	0.705	255	1.534	0.652	0.818
64	C3-multichannel	16.055	214.737	94.232	255	0	255	2618.120	1216.719	0.996	255	1.293	0.774	0.962
65	C3-multichannel	28.730	255.000	0.000	255	255	255	3275.093	1221.962	0.926	255	1.241	0.806	0.907
66	C3-multichannel	25.350	161.500	123.920	255	0	255	2678.668	1235.325	0.883	255	1.394	0.718	0.870
67	C3-multichannel	68.023	253.416	20.097	255	0	255	3265.821	1239.116	0.819	255	1.636	0.611	0.910
68	C3-multichannel	2.113	102.000	139.669	0	0	255	2558.076	1235.650	1.000	0	1.553	0.644	0.909
69	C3-multichannel	48.588	252.783	23.779	255	0	255	3122.573	1241.312	0.891	255	1.273	0.786	0.898
70	C3-multichannel	29.998	251.408	30.263	255	0	255	3192.560	1240.943	0.710	255	2.430	0.412	0.871
71	C3-multichannel	16.478	255.000	0.000	255	255	255	3823.726	1240.092	0.841	255	1.658	0.603	0.867
72	C3-multichannel	40.983	233.969	70.511	255	0	255	3848.239	1239.408	0.645	255	2.053	0.487	0.805
73	C3-multichannel	28.730	255.000	0.000	255	255	255	3031.993	1242.389	0.832	255	2.006	0.498	0.895
74	C3-multichannel	13.098	213.871	95.339	255	0	255	2564.176	1242.175	0.960	255	1.120	0.893	0.873
75	C3-multichannel	31.265	255.000	0.000	255	255	255	3158.518	1247.702	0.740	255	1.839	0.544	0.827
76	C3-multichannel	125.905	237.886	63.913	255	0	255	2742.709	1256.025	0.477	255	2.111	0.474	0.691
77	C3-multichannel	37.603	255.000	0.000	255	255	255	3122.181	1261.727	0.490	255	4.049	0.247	0.828
78	C3-multichannel	25.773	255.000	0.000	255	255	255	2991.434	1271.278	0.543	255	3.173	0.315	0.841
79	C3-multichannel	16.055	87.237	122.600	0	0	255	2491.326	1269.225	0.731	0	2.059	0.486	0.864
80	C3-multichannel	65.488	248.419	40.563	255	0	255	3259.047	1275.311	0.729	255	1.772	0.564	0.864
81	C3-multichannel	20.703	255.000	0.000	255	255	255	2553.712	1273.317	0.722	255	2.291	0.437	0.790
82	C3-multichannel	10.140	42.500	97.077	0	0	255	2871.051	1273.350	0.809	0	2.209	0.453	0.873
83	C3-multichannel	40.560	13.281	56.957	0	0	255	2815.866	1275.755	0.694	0	2.538	0.394	0.885
84	C3-multichannel	27.463	74.538	116.882	0	0	255	2529.579	1277.404	0.905	0	1.560	0.641	0.878
85	C3-multichannel	21.970	0.000	0.000	0	0	0	2641.988	1280.450	1.000	0	1.061	0.942	0.929
86	C3-multichannel	11.830	63.750	112.444	0	0	255	2799.783	1280.640	0.419	0	4.443	0.225	0.683
87	C3-multichannel	5.915	255.000	0.000	255	255	255	2999.426	1281.800	0.993	255	1.127	0.887	0.824
88	C3-multichannel	54.080	253.008	22.539	255	0	255	3010.758	1286.302	0.434	255	4.238	0.236	0.810
89	C3-multichannel	19.013	255.000	0.000	255	255	255	3072.587	1285.968	0.925	255	1.655	0.604	0.928
90	C3-multichannel	24.928	229.068	77.734	255	0	255	3808.370	1288.491	0.590	255	3.378	0.296	0.808
91	C3-multichannel	3.803	255.000	0.000	255	255	255	2922.148	1292.309	1.000	255	1.340	0.746	0.857
92	C3-multichannel	6.338	187.000	116.723	255	0	255	2613.149	1296.544	0.746	255	2.144	0.466	0.789
93	C3-multichannel	12.675	255.000	0.000	255	255	255	2961.899	1298.787	0.769	255	2.186	0.457	0.845
94	C3-multichannel	13.943	255.000	0.000	255	255	255	3163.482	1298.513	0.943	255	1.498	0.667	0.846
95	C3-multichannel	88.303	255.000	0.000	255	255	255	3249.891	1301.532	0.743	255	1.255	0.797	0.893
96	C3-multichannel	24.505	224.224	83.796	255	0	255	3191.558	1299.217	0.558	255	3.081	0.325	0.866
97	C3-multichannel	12.253	0.000	0.000	0	0	0	2488.302	1300.258	0.953	0	1.475	0.678	0.866
98	C3-multichannel	3.803	85.000	127.500	0	0	255	2859.026	1300.975	1.000	0	1.340	0.746	0.857
99	C3-multichannel	14.365	240.000	60.902	255	0	255	3174.804	1301.260	0.518	255	3.811	0.262	0.810
100	C3-multichannel	33.800	245.438	48.751	255	0	255	4624.292	1304.141	0.774	255	1.203	0.831	0.851
101	C3-multichannel	30.843	255.000	0.000	255	255	255	2921.266	1304.163	0.956	255	1.197	0.835	0.924
102	C3-multichannel	48.165	248.289	40.999	255	0	255	3034.438	1304.723	0.767	255	1.910	0.524	0.919
103	C3-multichannel	21.970	0.000	0.000	0	0	0	2657.438	1307.100	0.861	0	1.435	0.697	0.867
104	C3-multichannel	37.603	255.000	0.000	255	255	255	3157.223	1307.833	0.845	255	1.896	0.527	0.927
105	C3-multichannel	97.175	247.239	43.900	255	0	255	3248.399	1315.054	0.502	255	3.763	0.266	0.817
106	C3-multichannel	51.545	211.107	96.658	255	0	255	2859.393	1320.572	0.333	255	3.546	0.282	0.589
107	C3-multichannel	11.830	255.000	0.000	255	255	255	4761.670	1312.606	0.455	255	4.310	0.232	0.700
108	C3-multichannel	14.365	202.500	104.659	255	0	255	2754.328	1321.944	0.770	255	1.563	0.640	0.829
109	C3-multichannel	32.955	248.462	40.567	255	0	255	3877.397	1322.425	0.889	255	1.547	0.646	0.902
110	C3-multichannel	25.350	255.000	0.000	255	255	255	4880.570	1324.635	0.420	255	4.801	0.208	0.745
111	C3-multichannel	41.405	239.388	61.448	255	0	255	2847.043	1322.623	0.961	255	1.287	0.777	0.933
112	C3-multichannel	69.713	255.000	0.000	255	255	255	4841.026	1324.316	0.269	255	3.961	0.252	0.556
113	C3-multichannel	24.505	255.000	0.000	255	255	255	3129.919	1322.481	0.905	255	1.619	0.618	0.906
114	C3-multichannel	31.688	248.200	41.359	255	0	255	3795.115	1323.957	0.854	255	1.482	0.675	0.877
115	C3-multichannel	13.943	255.000	0.000	255	255	255	3888.764	1322.800	0.803	255	2.053	0.487	0.868
116	C3-multichannel	203.223	232.204	72.831	255	0	255	3231.072	1338.098	0.601	255	2.619	0.382	0.890
117	C3-multichannel	57.460	185.625	113.900	255	0	255	2872.466	1327.494	0.849	255	1.692	0.591	0.901
118	C3-multichannel	42.250	196.350	107.853	255	0	255	2544.797	1329.280	0.857	255	1.659	0.603	0.889
119	C3-multichannel	6.338	255.000	0.000	255	255	255	4577.583	1326.715	1.000	255	1.295	0.772	0.857
120	C3-multichannel	13.098	255.000	0.000	255	255	255	2674.782	1330.163	0.838	255	1.407	0.711	0.838
121	C3-multichannel	1.690	255.000	0.000	255	255	255	4875.652	1329.250	1.000	255	1.000	1.000	1.000
122	C3-multichannel	26.618	255.000	0.000	255	255	255	4691.026	1333.341	0.928	255	1.129	0.886	0.887
123	C3-multichannel	4.648	255.000	0.000	255	255	255	4698.290	1330.935	1.000	255	1.372	0.729	0.957
124	C3-multichannel	117.878	253.172	21.551	255	0	255	3083.989	1336.003	0.687	255	1.753	0.571	0.872
125	C3-multichannel	59.150	240.429	59.402	255	0	255	3168.308	1337.198	0.762	255	1.482	0.675	0.912
126	C3-multichannel	43.095	162.500	123.207	255	0	255	3784.376	1335.965	0.690	255	2.274	0.440	0.854
127	C3-multichannel	65.488	255.000	0.000	255	255	255	3072.729	1338.013	0.919	255	1.335	0.749	0.942
128	C3-multichannel	73.515	255.000	0.000	255	255	255	3099.709	1337.570	0.638	255	1.619	0.617	0.809
129	C3-multichannel	25.350	221.000	87.415	255	0	255	2439.851	1336.850	0.849	255	1.578	0.634	0.882
130	C3-multichannel	91.260	253.819	17.351	255	0	255	3956.257	1342.959	0.786	255	1.150	0.870	0.887
131	C3-multichannel	6.760	143.438	130.649	255	0	255	2931.248	1337.592	0.740	255	2.366	0.423	0.865
132	C3-multichannel	13.098	255.000	0.000	255	255	255	2509.724	1340.206	0.702	255	1.832	0.546	0.795
133	C3-multichannel	27.040	15.938	62.214	0	0	255	3776.339	1341.925	0.906	0	1.226	0.816	0.889
134	C3-multichannel	31.265	248.108	41.634	255	0	255	3857.932	1346.214	0.518	255	3.324	0.301	0.831
135	C3-multichannel	35.913	192.000	110.635	255	0	255	2671.795	1344.109	0.903	255	1.320	0.758	0.914
136	C3-multichannel	45.630	255.000	0.000	255	255	255	2718.873	1349.003	0.588	255	2.374	0.421	0.821
137	C3-multichannel	7.605	0.000	0.000	0	0	0	4690.835	1348.714	0.472	0	3.711	0.269	0.679
138	C3-multichannel	5.070	106.250	131.307	0	0	255	4784.327	1347.255	0.967	0	1.419	0.705	0.889
139	C3-multichannel	98.443	255.000	0.000	255	255	255	4960.058	1351.737	0.472	255	1.449	0.690	0.706
140	C3-multichannel	23.238	69.545	114.614	0	0	255	4724.483	1350.852	0.673	0	2.337	0.428	0.797
141	C3-multichannel	24.083	255.000	0.000	255	255	255	4879.626	1350.797	0.788	255	2.094	0.478	0.905
142	C3-multichannel	6.338	255.000	0.000	255	255	255	3174.839	1348.989	0.942	255	1.472	0.679	0.789
143	C3-multichannel	5.915	255.000	0.000	255	255	255	4627.352	1348.611	1.000	255	1.020	0.981	0.933
144	C3-multichannel	9.718	255.000	0.000	255	255	255	4841.527	1350.573	0.902	255	1.887	0.530	0.902
145	C3-multichannel	41.405	244.592	50.715	255	0	255	2936.743	1359.800	0.725	255	1.986	0.503	0.895
146	C3-multichannel	16.478	255.000	0.000	255	255	255	4637.143	1357.192	0.704	255	2.415	0.414	0.821
147	C3-multichannel	24.083	232.632	72.777	255	0	255	2840.463	1358.450	0.820	255	1.662	0.602	0.891
148	C3-multichannel	8.873	242.857	55.646	255	0	255	4879.064	1356.518	0.971	255	1.369	0.731	0.933
149	C3-multichannel	79.430	234.654	69.280	255	0	255	3211.653	1360.975	0.710	255	1.498	0.668	0.845
150	C3-multichannel	18.590	255.000	0.000	255	255	255	2719.778	1361.100	0.535	255	3.203	0.312	0.830
151	C3-multichannel	4.648	69.545	119.110	0	0	255	4900.677	1357.525	1.000	0	1.372	0.729	0.957
152	C3-multichannel	39.293	255.000	0.000	255	255	255	2969.135	1361.999	0.751	255	2.060	0.485	0.882
153	C3-multichannel	2.958	255.000	0.000	255	255	255	3176.226	1358.640	1.000	255	1.069	0.936	0.875
154	C3-multichannel	33.378	251.772	28.690	255	0	255	3251.568	1360.867	0.982	255	1.331	0.751	0.924
155	C3-multichannel	13.943	255.000	0.000	255	255	255	4838.710	1360.716	0.846	255	1.812	0.552	0.868
156	C3-multichannel	27.463	255.000	0.000	255	255	255	3981.006	1361.915	0.838	255	1.383	0.723	0.861
157	C3-multichannel	40.983	255.000	0.000	255	255	255	4030.548	1362.022	0.690	255	2.607	0.384	0.874
158	C3-multichannel	20.280	249.688	36.806	255	0	255	4683.964	1362.075	0.829	255	1.810	0.552	0.865
159	C3-multichannel	35.913	255.000	0.000	255	255	255	4017.005	1362.848	0.861	255	1.557	0.642	0.895
160	C3-multichannel	7.183	255.000	0.000	255	255	255	4905.456	1361.846	0.820	255	1.978	0.506	0.791
161	C3-multichannel	20.280	255.000	0.000	255	255	255	4118.131	1364.635	0.781	255	2.049	0.488	0.842
162	C3-multichannel	176.605	227.548	79.131	255	0	255	2794.392	1369.830	0.386	255	3.850	0.260	0.716
163	C3-multichannel	48.165	255.000	0.000	255	255	255	2843.187	1367.230	0.548	255	2.993	0.334	0.803
164	C3-multichannel	32.533	248.377	40.826	255	0	255	4949.739	1365.143	0.633	255	2.604	0.384	0.828
165	C3-multichannel	33.378	255.000	0.000	255	255	255	3279.955	1366.017	0.649	255	2.697	0.371	0.849
166	C3-multichannel	21.548	145.000	127.550	255	0	255	2611.219	1367.881	0.751	255	2.137	0.468	0.843
