 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C3-multichannel	9.295	150.682	128.325	255	0	255	4816.377	1756.676	0.840	255	1.908	0.524	0.830
2	C3-multichannel	7.605	0.000	0.000	0	0	0	4693.977	1775.801	1.000	0	1.362	0.734	0.947
3	C3-multichannel	8.450	0.000	0.000	0	0	0	4875.327	1799.201	1.000	0	1.250	0.800	1.000
4	C3-multichannel	8.450	242.250	57.020	255	0	255	4888.498	1805.547	0.925	255	1.665	0.601	0.909
5	C3-multichannel	4.648	0.000	0.000	0	0	0	4885.490	1806.380	1.000	0	1.139	0.878	0.815
6	C3-multichannel	8.028	0.000	0.000	0	0	0	4786.619	1809.686	1.000	0	1.343	0.744	0.884
7	C3-multichannel	1.268	0.000	0.000	0	0	0	4889.843	1809.059	1.000	0	1.464	0.683	0.857
8	C3-multichannel	8.028	0.000	0.000	0	0	0	4806.187	1810.439	0.916	0	1.404	0.712	0.809
9	C3-multichannel	3.380	0.000	0.000	0	0	0	4776.608	1821.707	1.000	0	1.229	0.814	0.941
10	C3-multichannel	7.183	150.000	129.361	255	0	255	4838.277	1838.201	0.820	255	2.039	0.490	0.791
11	C3-multichannel	22.815	0.000	0.000	0	0	0	4706.904	1846.073	0.809	0	1.738	0.575	0.871
12	C3-multichannel	13.098	255.000	0.000	255	255	255	4736.248	1863.750	0.886	255	1.169	0.855	0.827
13	C3-multichannel	19.435	116.413	128.421	0	0	255	4846.139	1923.459	0.945	0	1.404	0.712	0.929
14	C3-multichannel	8.450	0.000	0.000	0	0	0	4767.264	1925.528	0.994	0	1.102	0.907	0.889
15	C3-multichannel	25.350	55.250	105.940	0	0	255	4795.477	2036.276	0.883	0	1.410	0.709	0.863
16	C3-multichannel	2.535	0.000	0.000	0	0	0	4792.018	2046.309	0.686	0	1.525	0.656	0.667
17	C3-multichannel	19.858	0.000	0.000	0	0	0	4778.643	2049.831	0.640	0	2.378	0.421	0.847
18	C3-multichannel	30.843	251.507	29.845	255	0	255	4477.445	2069.059	0.927	255	1.119	0.893	0.869
19	C3-multichannel	16.900	255.000	0.000	255	255	255	4687.867	2069.893	0.524	255	2.677	0.373	0.755
20	C3-multichannel	8.028	241.579	58.501	255	0	255	4623.849	2078.087	1.000	255	1.344	0.744	0.884
21	C3-multichannel	15.633	255.000	0.000	255	255	255	4465.300	2095.153	0.746	255	2.325	0.430	0.831
22	C3-multichannel	17.745	224.643	83.581	255	0	255	4088.651	2096.787	1.000	255	1.259	0.794	0.933
23	C3-multichannel	4.648	231.818	76.885	255	0	255	4788.097	2101.451	1.000	255	1.372	0.729	0.957
24	C3-multichannel	12.675	178.500	118.853	255	0	255	4003.924	2115.395	0.929	255	1.269	0.788	0.857
25	C3-multichannel	6.760	47.812	102.794	0	0	255	4716.293	2120.842	1.000	0	1.209	0.827	0.889
26	C3-multichannel	49.855	121.017	127.878	0	0	255	4536.421	2138.315	0.530	0	3.380	0.296	0.837
27	C3-multichannel	1.690	0.000	0.000	0	0	0	4112.551	2146.626	0.857	0	2.031	0.492	0.800
28	C3-multichannel	17.745	255.000	0.000	255	255	255	4177.629	2151.346	1.000	255	1.239	0.807	0.903
29	C3-multichannel	29.998	211.901	96.245	255	0	255	3977.489	2154.933	0.744	255	1.820	0.550	0.835
30	C3-multichannel	13.943	0.000	0.000	0	0	0	3986.973	2155.489	0.803	0	1.882	0.531	0.880
31	C3-multichannel	8.028	0.000	0.000	0	0	0	4428.845	2161.199	1.000	0	1.273	0.785	0.974
32	C3-multichannel	46.053	42.110	95.120	0	0	255	3924.954	2167.245	0.579	0	3.266	0.306	0.862
33	C3-multichannel	13.943	185.455	115.328	255	0	255	4595.827	2168.401	0.965	255	1.387	0.721	0.904
34	C3-multichannel	6.760	255.000	0.000	255	255	255	3906.948	2173.682	1.000	255	1.568	0.638	0.914
35	C3-multichannel	7.605	0.000	0.000	0	0	0	4714.127	2175.551	0.923	0	2.000	0.500	1.000
36	C3-multichannel	15.633	255.000	0.000	255	255	255	3901.539	2176.701	0.639	255	2.548	0.392	0.822
37	C3-multichannel	16.478	255.000	0.000	255	255	255	4628.093	2176.876	0.949	255	1.484	0.674	0.918
