 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C2-multichannel	16.478	323.436	32.861	270	255	397	5808.259	1337.265	0.503	322	4.088	0.245	0.743
2	C2-multichannel	59.573	346.113	50.687	321	253	482	6336.491	1348.808	0.571	337	2.775	0.360	0.842
3	C2-multichannel	25.350	327.650	43.772	268	250	472	6287.312	1378.339	0.774	324	2.058	0.486	0.870
4	C2-multichannel	27.885	326.712	35.582	267	255	407	6396.554	1385.789	0.884	326	1.797	0.557	0.904
5	C2-multichannel	9.295	350.727	52.720	271	271	447	5801.191	1397.214	0.723	352	2.388	0.419	0.800
6	C2-multichannel	2.113	376.800	13.918	358	358	392	6008.408	1409.795	1.000	374	1.553	0.644	0.909
7	C2-multichannel	2.958	342.143	32.860	307	307	400	6013.471	1416.034	1.000	330	1.596	0.626	0.875
8	C2-multichannel	32.955	416.564	94.815	405	248	608	6258.028	1424.716	0.889	412	1.221	0.819	0.891
9	C2-multichannel	12.675	329.833	40.398	302	275	407	5925.206	1438.213	0.532	318	3.510	0.285	0.750
10	C2-multichannel	20.280	329.521	42.339	298	262	437	6099.662	1447.489	0.521	320	3.253	0.307	0.756
11	C2-multichannel	1.268	341.333	25.166	318	318	368	5926.163	1448.727	1.000	338	1.464	0.683	0.857
12	C2-multichannel	1.268	339.333	36.529	302	302	375	6105.367	1451.318	1.000	341	1.464	0.683	0.857
13	C2-multichannel	34.223	385.086	85.927	285	227	634	5986.350	1454.894	0.554	367	3.262	0.307	0.822
14	C2-multichannel	2.535	325.667	19.222	297	297	354	6399.051	1468.554	1.000	327	1.291	0.775	0.800
15	C2-multichannel	18.168	343.070	65.164	275	259	529	6029.747	1501.995	0.776	326	2.142	0.467	0.860
16	C2-multichannel	11.830	344.714	45.696	313	254	438	5912.287	1511.163	0.564	340	2.958	0.338	0.812
17	C2-multichannel	5.070	327.333	45.127	285	285	409	5824.857	1510.957	1.000	314	1.579	0.633	0.889
18	C2-multichannel	4.225	316.400	13.906	285	285	333	5917.609	1510.783	1.000	320	1.327	0.753	0.909
19	C2-multichannel	24.505	386.672	93.275	336	248	574	6085.981	1513.145	0.854	374	1.778	0.562	0.885
20	C2-multichannel	12.253	321.552	30.235	289	261	383	6301.176	1514.190	0.510	319	3.748	0.267	0.879
21	C2-multichannel	12.675	348.367	49.351	328	271	472	6180.812	1532.160	0.769	336	2.358	0.424	0.845
22	C2-multichannel	22.393	340.887	40.808	363	261	440	5685.758	1535.562	0.616	337	3.425	0.292	0.779
23	C2-multichannel	25.350	354.750	53.592	345	242	496	6393.814	1544.501	0.993	345	1.121	0.892	0.930
24	C2-multichannel	16.900	335.000	40.618	314	270	452	5898.130	1552.480	0.994	335	1.209	0.827	0.976
25	C2-multichannel	19.858	362.404	54.996	312	262	512	5749.569	1556.801	0.929	355	1.809	0.553	0.879
26	C2-multichannel	47.743	372.035	87.195	295	231	637	6165.009	1563.062	0.781	353	1.597	0.626	0.883
27	C2-multichannel	4.648	359.545	67.273	261	261	468	6232.911	1564.639	1.000	357	1.139	0.878	0.815
28	C2-multichannel	13.520	358.906	56.313	355	274	487	6191.053	1565.702	0.865	353	1.825	0.548	0.877
29	C2-multichannel	6.760	326.812	29.544	285	258	359	6229.176	1566.184	0.795	335	2.078	0.481	0.865
30	C2-multichannel	5.493	311.077	29.085	306	269	357	6217.409	1568.159	0.646	306	2.312	0.433	0.788
31	C2-multichannel	37.603	376.573	95.859	313	258	816	6205.094	1569.940	0.623	359	2.450	0.408	0.886
32	C2-multichannel	9.718	326.957	44.011	255	255	420	6166.714	1570.378	1.000	318	1.235	0.809	0.885
33	C2-multichannel	20.280	371.958	96.535	229	229	643	6195.952	1572.914	0.815	352	1.409	0.710	0.821
34	C2-multichannel	169.000	476.808	166.317	317	240	993	6031.628	1590.734	0.588	437	1.416	0.706	0.786
35	C2-multichannel	61.263	475.366	206.465	301	220	1162	6111.217	1589.952	0.731	408	2.041	0.490	0.853
36	C2-multichannel	9.718	322.087	32.564	343	221	385	5833.652	1590.700	0.521	324	3.412	0.293	0.708
37	C2-multichannel	59.150	505.186	191.350	286	214	1044	6120.278	1596.284	0.618	483	2.501	0.400	0.854
38	C2-multichannel	2.113	359.200	43.066	309	309	428	6364.193	1592.289	1.000	353	1.553	0.644	0.909
39	C2-multichannel	3.803	343.556	28.054	290	290	376	5693.923	1598.333	0.884	352	2.314	0.432	0.783
40	C2-multichannel	33.378	396.051	88.725	299	238	668	6328.705	1605.337	0.857	379	1.649	0.606	0.878
41	C2-multichannel	18.590	323.364	27.433	302	244	404	6014.493	1610.154	0.349	322	3.783	0.264	0.710
42	C2-multichannel	17.745	320.738	24.461	333	278	388	5715.904	1620.199	0.227	321	9.105	0.110	0.592
43	C2-multichannel	6.760	318.688	33.320	274	274	380	6018.547	1617.126	1.000	327	1.150	0.869	0.889
44	C2-multichannel	60.840	356.021	70.495	307	253	611	6009.422	1625.277	0.363	339	5.841	0.171	0.778
45	C2-multichannel	15.210	351.417	56.005	278	259	466	5953.462	1631.331	0.761	358	2.429	0.412	0.847
46	C2-multichannel	8.450	337.050	49.901	271	271	455	6194.857	1631.520	0.744	328	2.446	0.409	0.800
47	C2-multichannel	2.958	314.857	24.155	286	286	358	5731.387	1634.620	0.800	316	2.339	0.427	0.778
48	C2-multichannel	10.563	324.640	31.780	339	280	383	5738.061	1642.782	0.774	325	2.246	0.445	0.833
49	C2-multichannel	14.788	332.514	42.167	306	272	434	5392.016	1643.563	0.851	326	2.175	0.460	0.909
50	C2-multichannel	4.225	344.400	50.993	279	279	448	5396.564	1645.361	1.000	356	1.288	0.776	0.909
51	C2-multichannel	5.070	359.250	35.035	319	319	430	5979.292	1645.141	0.809	357	3.000	0.333	1.000
52	C2-multichannel	4.225	315.300	20.298	314	271	352	5813.993	1649.254	0.482	315	4.116	0.243	0.625
53	C2-multichannel	5.070	307.750	17.473	315	277	337	5745.187	1650.784	0.579	315	3.430	0.292	0.727
54	C2-multichannel	65.910	367.609	66.065	313	239	568	5757.843	1656.882	0.363	355	4.669	0.214	0.821
55	C2-multichannel	23.238	331.309	36.529	352	272	459	5788.032	1657.593	0.249	330	9.534	0.105	0.675
56	C2-multichannel	54.925	466.785	188.821	325	236	1132	6096.954	1662.049	0.701	410	1.976	0.506	0.861
57	C2-multichannel	13.098	350.097	42.242	323	286	454	5776.011	1659.222	0.608	336	2.688	0.372	0.861
58	C2-multichannel	26.195	364.290	95.664	284	236	708	6339.101	1666.197	0.453	340	3.220	0.311	0.743
59	C2-multichannel	16.900	374.225	78.119	274	257	543	5171.832	1670.560	0.806	372	2.157	0.464	0.879
60	C2-multichannel	5.493	339.385	27.427	341	298	403	6199.725	1673.616	0.666	337	3.340	0.299	0.963
61	C2-multichannel	16.055	315.895	30.740	288	271	421	5263.907	1689.884	0.974	308	1.580	0.633	0.916
62	C2-multichannel	55.348	381.603	65.415	377	265	559	5257.219	1693.300	0.872	374	1.177	0.850	0.903
63	C2-multichannel	2.958	347.286	29.370	313	313	399	5645.563	1695.039	0.800	342	2.339	0.427	0.778
