 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C2-multichannel	32.110	306.763	35.455	248	243	392	2644.673	1919.357	0.596	303	2.391	0.418	0.776
2	C2-multichannel	7.183	296.118	33.241	304	255	379	2639.482	1924.811	0.713	290	1.578	0.634	0.791
3	C2-multichannel	27.463	316.308	42.505	261	241	416	2633.671	1928.900	0.598	308	2.814	0.355	0.823
4	C2-multichannel	8.873	313.524	36.559	253	253	371	2569.149	1934.524	0.880	305	1.618	0.618	0.894
5	C2-multichannel	11.830	327.500	59.420	261	253	497	2587.763	1938.656	0.920	310	1.759	0.568	0.889
6	C2-multichannel	43.095	389.716	99.827	277	229	633	2703.238	1946.136	0.955	369	1.056	0.947	0.915
7	C2-multichannel	8.450	304.500	29.828	301	246	350	2708.540	1951.317	0.572	307	2.920	0.342	0.702
8	C2-multichannel	2.535	289.167	26.604	248	248	321	2714.094	1957.588	1.000	297	1.809	0.553	0.800
9	C2-multichannel	10.563	310.240	36.056	282	252	380	2717.521	1960.161	0.919	299	1.431	0.699	0.926
10	C2-multichannel	84.078	406.839	161.627	280	211	1206	2593.857	1978.820	0.555	352	2.681	0.373	0.824
11	C2-multichannel	141.538	492.230	205.688	336	206	1092	2598.008	2018.263	0.557	433	2.827	0.354	0.812
12	C2-multichannel	60.418	378.692	127.861	271	201	734	2576.811	2025.236	0.259	319	3.549	0.282	0.633
13	C2-multichannel	2.535	295.333	30.625	239	239	325	2558.709	2027.345	1.000	307	1.500	0.667	1.000
14	C2-multichannel	31.688	336.360	53.274	306	248	472	2772.651	2045.571	0.505	324	2.945	0.340	0.785
15	C2-multichannel	6.760	314.312	37.748	296	266	388	2641.798	2042.071	0.795	303	2.111	0.474	0.889
16	C2-multichannel	29.998	317.859	35.526	268	255	397	2651.675	2046.020	0.436	321	4.751	0.210	0.821
17	C2-multichannel	21.970	333.808	49.574	337	240	484	2776.461	2058.583	0.274	329	7.536	0.133	0.675
18	C2-multichannel	7.605	331.111	43.531	321	266	433	2662.839	2054.990	0.832	321	2.178	0.459	0.923
19	C2-multichannel	30.420	334.014	53.675	290	238	454	2564.760	2059.339	0.792	328	1.341	0.746	0.894
20	C2-multichannel	9.295	296.227	30.052	284	252	382	2668.869	2057.020	0.595	297	3.030	0.330	0.759
21	C2-multichannel	29.575	323.771	53.449	284	220	493	2680.862	2067.572	0.857	316	1.840	0.543	0.886
22	C2-multichannel	20.703	298.041	28.755	295	236	360	2692.814	2074.306	0.642	295	2.323	0.431	0.883
23	C2-multichannel	11.830	338.750	47.069	306	278	435	2581.921	2080.137	0.757	328	2.187	0.457	0.836
24	C2-multichannel	43.518	330.602	49.890	275	235	525	2781.234	2084.849	0.842	323	1.240	0.807	0.888
25	C2-multichannel	13.943	310.424	31.579	298	242	375	2587.365	2084.789	0.550	309	2.412	0.415	0.750
26	C2-multichannel	54.925	335.377	64.595	307	222	537	2716.397	2085.669	0.655	324	1.441	0.694	0.783
27	C2-multichannel	27.040	312.875	37.218	314	225	401	2787.520	2088.610	0.838	314	1.344	0.744	0.871
28	C2-multichannel	30.843	398.178	80.714	267	236	559	2595.540	2092.194	0.956	406	1.193	0.838	0.924
29	C2-multichannel	59.573	318.908	45.285	355	230	433	2792.430	2098.611	0.441	315	3.012	0.332	0.701
30	C2-multichannel	73.515	341.069	45.104	289	260	525	2612.107	2108.453	0.641	333	2.712	0.369	0.845
31	C2-multichannel	6.760	300.125	28.178	271	249	340	2829.654	2106.731	0.772	297	2.301	0.435	0.780
32	C2-multichannel	16.478	316.308	50.608	266	239	501	2833.218	2111.602	0.565	309	3.203	0.312	0.736
33	C2-multichannel	8.028	289.579	29.052	249	249	350	2766.949	2112.544	0.575	291	3.468	0.288	0.745
34	C2-multichannel	1.690	305.750	19.585	291	291	333	2810.267	2117.036	1.000	307	2.031	0.492	0.800
35	C2-multichannel	1.690	324.750	14.818	310	310	344	2814.831	2119.645	1.000	328	2.031	0.492	0.800
36	C2-multichannel	38.448	325.857	48.033	395	231	432	2625.298	2129.411	0.665	320	1.840	0.543	0.835
37	C2-multichannel	5.070	311.250	24.882	276	276	360	2831.685	2136.404	0.458	318	4.274	0.234	0.649
38	C2-multichannel	1.690	320.250	32.212	289	289	350	2866.207	2163.204	1.000	346	2.031	0.492	0.800
39	C2-multichannel	26.195	336.468	58.823	283	230	476	2775.928	2172.020	0.732	330	1.856	0.539	0.816
40	C2-multichannel	4.648	297.091	23.692	280	266	343	2648.500	2169.891	0.887	291	1.772	0.564	0.846
41	C2-multichannel	5.070	300.917	30.285	235	235	342	2616.082	2171.192	0.781	311	2.122	0.471	0.828
42	C2-multichannel	8.873	320.476	31.400	295	274	377	2576.654	2173.397	0.802	319	1.452	0.689	0.808
43	C2-multichannel	35.913	324.365	58.787	253	235	482	2629.226	2178.324	0.394	310	4.227	0.237	0.752
44	C2-multichannel	8.450	298.850	26.998	313	258	352	2644.933	2179.630	0.898	297	1.776	0.563	0.816
45	C2-multichannel	10.563	316.320	39.311	307	256	408	2653.748	2179.235	0.578	309	3.091	0.324	0.820
46	C2-multichannel	2.958	287.429	26.387	242	242	316	2617.855	2179.774	1.000	301	1.596	0.626	0.875
47	C2-multichannel	13.098	299.548	29.729	273	256	356	2639.111	2180.656	0.858	300	2.091	0.478	0.939
48	C2-multichannel	4.225	304.500	17.380	297	284	337	2662.080	2182.041	0.553	304	3.596	0.278	0.833
49	C2-multichannel	42.673	410.653	159.773	326	204	872	2893.702	2198.644	0.497	355	3.732	0.268	0.821
50	C2-multichannel	15.210	324.278	54.195	255	224	436	2600.758	2204.708	0.761	321	2.368	0.422	0.828
51	C2-multichannel	49.010	351.379	77.162	291	213	610	2794.702	2213.572	0.691	335	2.315	0.432	0.862
52	C2-multichannel	10.563	314.040	38.653	255	255	394	2713.248	2216.694	0.774	310	1.648	0.607	0.833
53	C2-multichannel	1.690	290.000	4.619	286	286	294	2720.246	2219.101	1.000	294	1.000	1.000	1.000
54	C2-multichannel	13.098	320.161	37.965	312	252	427	5669.793	2223.097	0.754	312	2.156	0.464	0.849
55	C2-multichannel	8.873	336.048	60.371	279	248	452	2902.384	2223.881	0.802	329	2.177	0.459	0.808
56	C2-multichannel	37.180	353.739	60.571	286	253	493	2903.467	2232.026	0.799	354	1.532	0.653	0.889
57	C2-multichannel	29.575	318.757	37.785	310	245	411	2758.437	2249.408	0.334	312	2.035	0.492	0.609
58	C2-multichannel	2.535	312.500	39.974	293	263	380	5666.275	2247.355	1.000	322	1.809	0.553	0.800
59	C2-multichannel	85.345	337.817	59.331	292	232	560	5656.969	2258.582	0.346	329	5.185	0.193	0.728
60	C2-multichannel	87.880	316.250	36.443	311	245	435	2620.389	2266.498	0.192	314	7.732	0.129	0.619
61	C2-multichannel	275.470	484.520	205.040	284	153	1273	5517.361	2279.939	0.590	439	2.107	0.475	0.878
62	C2-multichannel	40.560	348.354	68.666	315	242	582	2644.075	2270.609	0.639	334	2.216	0.451	0.831
63	C2-multichannel	37.180	326.909	36.365	296	241	432	2714.549	2283.707	0.439	326	4.976	0.201	0.749
64	C2-multichannel	23.660	338.589	61.075	361	243	541	2652.082	2284.318	0.607	327	2.908	0.344	0.812
65	C2-multichannel	20.703	380.755	92.010	359	232	565	5753.292	2289.405	0.885	368	1.414	0.707	0.867
66	C2-multichannel	52.390	320.484	43.990	286	238	447	2911.012	2294.812	0.557	309	2.856	0.350	0.844
67	C2-multichannel	33.800	435.100	165.554	269	208	864	5763.588	2303.693	0.811	397	1.241	0.806	0.865
68	C2-multichannel	43.518	448.922	183.957	256	219	924	2735.817	2308.699	0.831	390	1.238	0.808	0.877
69	C2-multichannel	37.603	334.989	50.887	337	233	470	5682.409	2321.715	0.773	333	1.708	0.585	0.860
70	C2-multichannel	28.730	347.324	74.436	327	255	603	2910.180	2325.760	0.667	330	2.404	0.416	0.840
71	C2-multichannel	8.028	305.684	29.770	329	257	363	5620.229	2324.704	0.879	306	2.298	0.435	0.950
72	C2-multichannel	13.098	317.097	56.078	295	251	493	2587.339	2329.178	0.907	295	1.532	0.653	0.886
73	C2-multichannel	43.518	388.835	91.165	319	207	566	2994.170	2332.428	0.461	385	4.019	0.249	0.824
74	C2-multichannel	5.070	310.417	31.753	268	268	375	5673.140	2327.817	0.781	310	2.122	0.471	0.828
75	C2-multichannel	2.535	330.000	20.523	308	308	360	2739.765	2330.908	0.809	329	2.082	0.480	0.857
76	C2-multichannel	47.320	355.080	74.229	305	244	590	2695.554	2341.614	0.527	340	3.148	0.318	0.778
77	C2-multichannel	7.183	301.235	23.679	259	259	342	2741.528	2338.903	0.911	305	1.597	0.626	0.850
78	C2-multichannel	81.543	413.093	102.267	471	218	733	5740.052	2347.542	0.531	408	2.035	0.491	0.804
79	C2-multichannel	16.478	356.205	54.910	280	249	466	2747.343	2355.810	0.765	351	2.134	0.469	0.886
80	C2-multichannel	62.108	459.639	212.389	335	182	1131	2921.088	2361.547	0.431	397	4.389	0.228	0.746
81	C2-multichannel	11.830	330.964	50.806	273	273	445	2748.300	2361.778	0.943	327	1.617	0.619	0.903
82	C2-multichannel	2.958	330.429	46.914	285	285	404	5504.282	2360.936	0.943	316	1.936	0.517	0.933
83	C2-multichannel	39.715	333.872	48.353	290	252	440	5494.121	2369.300	0.407	327	5.399	0.185	0.790
84	C2-multichannel	39.293	398.108	120.695	294	223	745	5566.559	2368.610	0.519	361	3.088	0.324	0.812
85	C2-multichannel	54.503	461.372	154.212	356	209	795	5723.922	2382.706	0.845	439	1.610	0.621	0.931
86	C2-multichannel	28.308	415.433	120.828	320	197	781	5723.623	2390.881	0.878	397	1.331	0.751	0.899
87	C2-multichannel	34.223	362.630	97.703	271	200	655	2969.614	2397.579	0.703	340	2.044	0.489	0.835
88	C2-multichannel	15.210	300.750	30.497	309	228	379	2751.751	2403.108	0.611	308	2.395	0.418	0.750
89	C2-multichannel	35.068	314.494	38.924	313	241	424	2596.667	2406.108	0.607	312	1.571	0.636	0.798
90	C2-multichannel	30.843	335.507	46.283	337	234	439	2788.538	2405.559	0.761	336	1.957	0.511	0.907
91	C2-multichannel	166.888	402.491	131.615	274	221	922	2767.461	2407.722	0.352	367	4.566	0.219	0.761
92	C2-multichannel	50.278	447.025	147.679	243	190	842	5633.682	2416.711	0.792	428	1.747	0.572	0.878
93	C2-multichannel	35.490	506.214	224.685	689	199	1071	5689.485	2418.741	0.880	480	1.583	0.632	0.898
94	C2-multichannel	41.405	334.878	49.953	284	240	448	2672.789	2419.279	0.746	330	2.011	0.497	0.863
95	C2-multichannel	1.268	303.000	11.790	293	293	316	2610.059	2417.026	0.967	300	3.000	0.333	1.000
96	C2-multichannel	12.675	301.967	28.869	292	247	371	2646.912	2418.502	0.811	299	2.141	0.467	0.822
97	C2-multichannel	128.440	504.072	253.032	292	208	1551	2767.246	2429.071	0.676	434	2.426	0.412	0.853
98	C2-multichannel	21.548	340.059	49.313	351	251	469	5777.271	2429.505	0.795	336	1.833	0.546	0.843
99	C2-multichannel	26.618	395.619	123.437	250	246	705	3015.537	2431.264	0.892	352	1.710	0.585	0.894
100	C2-multichannel	91.683	434.410	137.649	300	200	950	5538.561	2448.647	0.422	409	1.541	0.649	0.671
101	C2-multichannel	32.533	380.221	96.834	289	248	625	5659.842	2446.279	0.877	352	1.493	0.670	0.890
102	C2-multichannel	13.943	312.636	28.890	296	256	385	5523.613	2447.006	0.464	305	4.236	0.236	0.880
103	C2-multichannel	113.230	709.761	397.517	325	203	1878	5474.216	2458.895	0.864	628	1.403	0.713	0.916
104	C2-multichannel	30.420	364.417	91.473	269	233	588	2905.772	2460.203	0.765	348	1.737	0.576	0.852
105	C2-multichannel	44.785	368.821	102.835	299	184	679	3017.605	2476.750	0.397	342	2.971	0.337	0.614
106	C2-multichannel	36.758	344.333	61.316	296	241	492	2787.534	2477.919	0.842	332	1.686	0.593	0.892
107	C2-multichannel	33.800	414.750	113.422	279	236	634	5630.444	2478.380	0.774	405	1.882	0.531	0.865
108	C2-multichannel	16.478	354.385	60.579	289	235	455	3042.690	2481.092	0.750	358	2.534	0.395	0.857
109	C2-multichannel	35.913	403.671	132.104	280	212	826	2839.745	2483.639	0.678	372	2.593	0.386	0.854
110	C2-multichannel	40.983	398.557	106.632	297	224	728	5586.598	2487.727	0.751	365	1.732	0.577	0.833
111	C2-multichannel	47.320	366.179	64.908	330	227	538	2691.068	2486.653	0.562	364	3.513	0.285	0.855
112	C2-multichannel	32.533	387.351	104.193	253	243	641	2849.123	2488.154	0.791	372	1.862	0.537	0.917
113	C2-multichannel	31.688	368.453	83.007	371	209	585	5553.202	2490.952	0.571	355	3.429	0.292	0.824
114	C2-multichannel	12.675	310.067	23.993	297	248	354	2700.174	2489.074	0.830	315	1.547	0.646	0.896
115	C2-multichannel	18.168	308.442	39.992	282	239	429	2785.640	2491.599	0.699	307	2.071	0.483	0.796
116	C2-multichannel	11.408	304.556	43.953	258	255	412	2780.335	2491.793	0.910	290	1.312	0.762	0.885
117	C2-multichannel	12.675	321.900	37.921	326	249	392	2859.037	2494.772	0.542	327	3.856	0.259	0.769
118	C2-multichannel	223.080	509.076	324.725	304	194	1924	2878.284	2501.502	0.206	377	5.301	0.189	0.564
119	C2-multichannel	10.985	295.423	25.681	278	245	344	2559.914	2496.764	0.461	293	3.938	0.254	0.667
120	C2-multichannel	28.730	307.279	28.067	292	254	370	2723.919	2499.154	0.227	307	7.748	0.129	0.604
121	C2-multichannel	1.268	337.000	34.598	301	301	370	3011.776	2498.901	0.809	340	3.000	0.333	1.000
122	C2-multichannel	39.293	355.376	81.853	270	230	578	2739.492	2503.859	0.871	341	1.536	0.651	0.907
123	C2-multichannel	5.493	317.538	33.632	263	263	382	2571.091	2505.692	0.922	307	2.125	0.471	0.839
124	C2-multichannel	42.250	349.990	60.876	351	240	517	5746.631	2510.046	0.655	351	2.109	0.474	0.870
125	C2-multichannel	54.503	432.907	132.868	300	228	756	5449.154	2513.275	0.557	417	2.533	0.395	0.768
126	C2-multichannel	2.535	285.167	17.023	269	269	305	2913.732	2509.108	0.916	289	2.237	0.447	0.857
127	C2-multichannel	2.535	299.000	24.698	273	273	335	2579.853	2510.290	0.916	302	2.082	0.480	0.857
128	C2-multichannel	8.028	322.632	32.325	275	275	413	3119.009	2511.507	1.000	318	1.344	0.744	0.884
129	C2-multichannel	161.395	640.746	334.028	310	209	1921	2903.635	2523.123	0.666	569	2.258	0.443	0.880
130	C2-multichannel	44.363	330.752	50.094	262	244	452	3128.424	2516.799	0.500	325	3.688	0.271	0.817
131	C2-multichannel	13.943	290.152	22.820	276	238	321	2481.636	2517.583	0.786	293	1.768	0.566	0.835
132	C2-multichannel	12.253	299.448	24.858	300	246	355	3015.680	2520.157	0.608	300	3.453	0.290	0.935
133	C2-multichannel	9.718	310.130	35.024	279	264	408	2605.962	2520.724	0.824	307	2.221	0.450	0.868
134	C2-multichannel	56.615	377.985	103.069	302	219	766	5454.488	2525.479	0.600	349	2.741	0.365	0.865
135	C2-multichannel	13.098	293.677	25.225	285	249	344	2484.378	2523.645	0.738	293	2.125	0.471	0.849
136	C2-multichannel	136.045	517.891	273.980	287	181	1445	2729.125	2533.896	0.654	412	2.102	0.476	0.864
137	C2-multichannel	12.253	299.414	27.273	270	255	364	2487.643	2529.271	0.657	298	2.154	0.464	0.829
138	C2-multichannel	1.690	320.000	13.491	311	311	340	2421.244	2530.445	1.000	316	1.000	1.000	1.000
139	C2-multichannel	17.745	305.286	35.998	323	245	420	2497.521	2534.446	0.506	300	3.720	0.269	0.700
140	C2-multichannel	4.225	280.800	17.850	284	258	309	3015.621	2533.209	0.462	284	2.996	0.334	0.645
141	C2-multichannel	34.223	306.568	32.363	293	242	382	2634.723	2536.942	0.508	307	2.755	0.363	0.740
142	C2-multichannel	92.950	409.977	96.106	342	217	758	5458.954	2540.316	0.618	409	2.657	0.376	0.861
143	C2-multichannel	30.420	432.958	164.348	245	191	866	2816.866	2537.224	0.929	396	1.568	0.638	0.911
144	C2-multichannel	50.700	438.100	179.687	285	170	893	5733.132	2539.799	0.579	370	2.783	0.359	0.811
145	C2-multichannel	2.958	294.714	15.424	282	276	318	2451.302	2536.897	0.943	295	1.936	0.517	0.933
146	C2-multichannel	24.928	319.508	52.385	282	217	460	2641.608	2542.873	0.618	310	1.961	0.510	0.761
147	C2-multichannel	19.013	295.311	26.901	254	231	338	2648.804	2544.318	0.732	296	1.238	0.808	0.804
148	C2-multichannel	79.430	376.750	98.822	274	233	715	5723.369	2549.146	0.637	360	2.799	0.357	0.860
149	C2-multichannel	82.810	439.500	211.054	306	211	1423	2936.942	2551.866	0.587	365	2.950	0.339	0.841
150	C2-multichannel	39.715	315.043	40.629	291	241	435	3019.794	2553.658	0.225	316	7.323	0.137	0.580
151	C2-multichannel	18.168	304.605	34.462	281	251	390	2716.266	2551.307	0.343	299	5.841	0.171	0.642
152	C2-multichannel	4.225	317.900	43.026	266	266	389	2671.751	2549.076	0.887	326	1.690	0.592	0.833
153	C2-multichannel	54.925	393.400	81.904	266	227	559	5539.745	2555.967	0.811	401	1.713	0.584	0.897
154	C2-multichannel	14.365	312.559	29.704	321	255	369	2689.609	2553.841	0.429	311	4.472	0.224	0.773
155	C2-multichannel	55.348	428.389	129.912	312	242	763	5500.381	2555.725	0.827	405	1.932	0.518	0.923
156	C2-multichannel	29.575	405.471	118.090	247	240	675	2834.326	2556.630	0.917	387	1.425	0.702	0.921
157	C2-multichannel	16.900	320.175	36.180	294	265	417	5717.718	2558.895	0.806	315	1.709	0.585	0.870
158	C2-multichannel	28.730	370.412	111.312	282	232	677	2524.887	2563.961	0.803	329	2.062	0.485	0.861
159	C2-multichannel	13.520	308.156	37.118	283	259	411	3201.464	2562.487	0.563	296	3.324	0.301	0.821
160	C2-multichannel	29.153	318.449	48.979	282	222	455	2710.331	2563.785	0.510	313	3.193	0.313	0.780
161	C2-multichannel	20.703	293.041	26.503	276	224	359	3192.316	2565.034	0.667	292	2.521	0.397	0.831
162	C2-multichannel	23.660	314.679	31.451	296	235	389	3028.971	2568.487	0.647	313	2.467	0.405	0.812
163	C2-multichannel	46.898	384.414	107.995	261	208	670	3039.189	2569.633	0.747	351	1.957	0.511	0.910
164	C2-multichannel	32.955	335.821	65.285	316	246	533	2951.637	2573.732	0.745	316	2.203	0.454	0.821
165	C2-multichannel	29.153	413.841	119.733	318	230	650	5627.858	2574.457	0.815	399	1.382	0.724	0.873
166	C2-multichannel	31.265	354.446	80.963	274	221	562	2850.965	2576.586	0.566	329	3.507	0.285	0.809
167	C2-multichannel	42.250	443.280	154.244	320	221	825	3179.369	2577.652	0.967	418	1.045	0.957	0.922
168	C2-multichannel	47.743	378.726	83.190	321	234	567	5712.051	2587.284	0.850	352	1.567	0.638	0.883
169	C2-multichannel	39.715	387.160	99.142	290	255	631	2612.457	2595.695	0.853	364	1.854	0.540	0.935
170	C2-multichannel	68.868	482.742	209.342	235	216	1125	2533.619	2603.607	0.647	412	2.438	0.410	0.893
171	C2-multichannel	47.320	413.821	144.666	339	186	769	3135.040	2602.426	0.681	378	2.424	0.413	0.878
172	C2-multichannel	52.813	501.600	221.491	390	209	1214	2872.321	2605.632	0.855	452	1.640	0.610	0.909
173	C2-multichannel	133.510	386.649	99.454	329	200	689	2926.638	2610.201	0.296	371	4.463	0.224	0.594
174	C2-multichannel	46.475	315.200	41.151	295	230	458	2580.216	2608.728	0.447	312	2.764	0.362	0.675
175	C2-multichannel	29.998	348.859	50.324	360	247	489	3144.013	2606.189	0.851	350	1.647	0.607	0.899
176	C2-multichannel	36.758	362.517	83.241	258	225	549	3013.703	2610.570	0.611	356	3.147	0.318	0.833
177	C2-multichannel	20.280	339.750	47.598	273	270	477	3150.577	2610.298	0.866	334	1.600	0.625	0.857
178	C2-multichannel	3.380	319.625	27.903	287	287	370	5759.652	2610.097	0.914	324	2.179	0.459	0.800
179	C2-multichannel	29.998	388.930	125.524	338	225	733	2830.684	2614.117	0.809	344	1.548	0.646	0.882
180	C2-multichannel	16.478	343.769	55.773	289	278	505	2786.850	2615.397	0.949	328	1.499	0.667	0.918
181	C2-multichannel	54.925	364.392	86.351	277	229	605	5843.589	2621.091	0.574	346	1.357	0.737	0.802
182	C2-multichannel	37.180	348.227	77.330	299	246	587	2593.712	2622.466	0.435	320	4.473	0.224	0.743
183	C2-multichannel	56.193	389.331	139.073	311	225	937	5442.756	2623.509	0.735	338	1.589	0.629	0.826
184	C2-multichannel	24.505	325.759	38.421	318	249	443	2676.918	2628.644	0.642	322	2.915	0.343	0.829
185	C2-multichannel	38.025	325.100	44.809	279	228	433	2697.041	2629.345	0.762	325	1.351	0.740	0.818
186	C2-multichannel	9.295	356.955	62.359	332	266	493	3032.742	2627.727	0.922	353	1.856	0.539	0.898
187	C2-multichannel	2.113	298.400	17.053	295	279	326	5710.306	2629.448	1.000	295	1.553	0.644	0.909
188	C2-multichannel	14.788	359.286	65.190	302	261	512	5433.674	2633.869	0.661	342	2.923	0.342	0.814
189	C2-multichannel	38.025	333.556	48.948	334	244	447	5719.514	2634.226	0.677	336	1.827	0.547	0.837
190	C2-multichannel	121.680	626.542	474.647	375	225	2834	5392.621	2638.403	0.765	446	1.756	0.569	0.909
191	C2-multichannel	8.873	407.048	153.793	237	237	841	2271.319	2633.482	1.000	346	1.182	0.846	0.913
192	C2-multichannel	5.493	312.615	27.412	276	276	373	5711.507	2635.524	1.000	305	1.148	0.871	0.897
193	C2-multichannel	47.743	365.664	90.059	294	231	608	2529.011	2645.549	0.432	334	4.166	0.240	0.813
194	C2-multichannel	52.390	451.419	208.999	324	227	1170	3147.313	2649.154	0.695	375	1.940	0.515	0.832
195	C2-multichannel	16.900	306.175	33.709	304	235	378	5538.319	2646.261	0.770	304	1.351	0.740	0.825
196	C2-multichannel	12.253	337.000	29.813	298	282	384	5543.149	2645.898	0.977	340	1.266	0.790	0.906
197	C2-multichannel	40.560	328.146	47.508	354	235	473	2311.819	2651.319	0.500	329	3.360	0.298	0.738
198	C2-multichannel	15.210	336.833	40.873	285	256	420	5342.055	2651.627	0.667	336	3.113	0.321	0.828
199	C2-multichannel	97.598	363.048	86.552	289	229	619	2969.006	2657.267	0.653	344	1.453	0.688	0.790
200	C2-multichannel	68.445	456.858	187.430	293	230	1031	2977.469	2660.036	0.722	398	1.455	0.687	0.848
201	C2-multichannel	8.028	300.947	28.924	313	232	342	5337.053	2656.316	0.681	313	1.983	0.504	0.776
