 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C2-multichannel	128.440	378.559	103.000	301	237	784	2217.168	1318.560	0.545	351	2.322	0.431	0.827
2	C2-multichannel	6.338	287.467	20.866	308	242	313	2411.582	1316.187	1.000	294	1.137	0.880	0.968
3	C2-multichannel	21.548	316.039	35.575	294	227	413	2459.390	1358.986	0.938	307	1.294	0.773	0.911
4	C2-multichannel	2.958	280.429	25.922	256	256	331	1581.781	1358.176	1.000	267	1.596	0.626	0.875
5	C2-multichannel	26.195	355.452	50.714	282	268	463	2080.968	1365.709	0.944	358	1.494	0.669	0.954
6	C2-multichannel	32.533	384.844	82.119	460	243	607	1761.462	1370.830	0.923	388	1.201	0.833	0.906
7	C2-multichannel	427.570	405.915	87.071	490	224	632	1627.398	1384.400	0.492	410	3.547	0.282	0.910
8	C2-multichannel	6.760	320.125	29.669	321	270	375	2363.093	1388.764	0.795	325	1.721	0.581	0.865
9	C2-multichannel	246.318	411.671	119.920	312	208	788	1664.611	1405.280	0.377	384	3.776	0.265	0.724
10	C2-multichannel	31.688	347.573	58.162	300	253	497	1981.010	1399.942	0.813	345	1.578	0.634	0.867
11	C2-multichannel	15.210	304.417	37.720	342	247	394	1889.187	1401.894	0.712	298	2.034	0.492	0.809
12	C2-multichannel	13.098	316.935	43.505	278	246	422	1882.042	1406.240	0.795	308	2.235	0.447	0.873
13	C2-multichannel	9.295	298.545	24.723	277	256	363	2120.244	1415.894	0.922	301	1.620	0.617	0.898
14	C2-multichannel	24.083	309.614	41.127	276	229	435	1316.948	1424.661	0.889	303	1.212	0.825	0.864
15	C2-multichannel	32.110	312.763	49.420	277	218	499	1698.387	1432.017	0.520	302	2.915	0.343	0.764
16	C2-multichannel	34.645	328.537	54.865	258	239	497	1519.378	1430.048	0.948	317	1.038	0.964	0.927
17	C2-multichannel	6.760	289.938	23.507	289	257	341	1778.849	1428.140	1.000	289	1.568	0.638	0.914
18	C2-multichannel	22.393	323.547	31.853	293	267	395	2114.823	1434.303	0.342	321	6.026	0.166	0.746
19	C2-multichannel	4.225	299.400	23.148	260	260	322	2323.713	1429.938	0.736	310	2.686	0.372	0.909
20	C2-multichannel	7.605	296.944	25.434	287	256	340	1762.118	1436.842	0.808	295	1.489	0.672	0.800
21	C2-multichannel	53.658	303.890	28.569	298	245	373	1725.629	1438.766	0.345	300	5.787	0.173	0.830
22	C2-multichannel	15.210	312.694	41.715	232	232	391	2042.206	1438.937	0.974	308	1.289	0.776	0.889
23	C2-multichannel	17.323	302.463	34.871	290	241	382	2113.906	1450.449	0.408	295	3.071	0.326	0.672
24	C2-multichannel	26.618	315.603	41.911	273	237	445	1431.813	1449.494	0.928	313	1.377	0.726	0.894
25	C2-multichannel	1.268	297.333	7.638	289	289	304	1084.736	1455.897	1.000	299	1.464	0.683	0.857
26	C2-multichannel	28.730	329.735	48.173	317	226	485	2126.369	1464.160	0.395	333	2.406	0.416	0.677
27	C2-multichannel	21.970	333.519	48.010	335	230	459	2077.431	1464.583	0.898	333	1.325	0.755	0.874
28	C2-multichannel	17.323	347.707	53.964	285	243	482	2276.521	1465.284	0.976	346	1.616	0.619	0.911
29	C2-multichannel	23.238	356.400	67.547	292	225	509	1487.241	1467.082	0.858	351	1.834	0.545	0.894
30	C2-multichannel	2.535	313.500	15.617	290	290	332	2139.479	1464.440	1.000	317	1.500	0.667	1.000
31	C2-multichannel	28.308	324.881	46.806	269	249	438	1037.035	1467.481	0.845	317	1.745	0.573	0.912
32	C2-multichannel	29.998	359.704	58.753	358	237	485	1904.334	1469.530	0.966	364	1.067	0.937	0.910
33	C2-multichannel	29.998	321.451	53.149	336	222	488	1396.254	1483.692	0.609	318	2.918	0.343	0.807
34	C2-multichannel	4.225	289.200	18.636	262	262	324	1999.844	1480.558	0.806	291	2.198	0.455	0.833
35	C2-multichannel	40.138	425.105	128.970	286	213	724	1989.101	1492.979	0.932	400	1.378	0.726	0.927
36	C2-multichannel	39.715	367.574	87.983	319	232	613	965.403	1495.245	0.759	348	1.298	0.770	0.858
37	C2-multichannel	8.873	358.714	64.550	256	256	490	2250.329	1501.189	0.943	350	1.162	0.860	0.840
38	C2-multichannel	15.210	309.583	32.354	267	254	373	2077.048	1509.790	0.662	307	2.264	0.442	0.847
39	C2-multichannel	16.478	305.282	43.091	280	240	420	1510.152	1510.618	0.929	295	1.744	0.573	0.876
40	C2-multichannel	43.095	386.892	107.117	358	232	608	2073.656	1518.984	0.777	358	1.672	0.598	0.899
41	C2-multichannel	7.605	306.611	34.587	289	250	379	1262.647	1517.143	0.965	299	1.633	0.612	0.878
42	C2-multichannel	20.703	318.653	30.387	334	258	415	1700.484	1518.189	0.901	322	1.174	0.852	0.891
43	C2-multichannel	56.615	334.828	61.394	312	235	524	2246.130	1527.244	0.354	324	1.884	0.531	0.606
44	C2-multichannel	1.690	329.750	41.307	301	301	391	1263.577	1521.281	0.857	316	2.031	0.492	0.800
45	C2-multichannel	13.098	336.226	68.370	257	226	492	2257.379	1523.152	1.000	339	1.117	0.895	0.886
46	C2-multichannel	23.660	346.768	57.924	312	217	478	1632.666	1525.545	0.911	344	1.519	0.658	0.889
47	C2-multichannel	7.183	295.588	20.457	291	271	342	1951.347	1526.508	0.713	291	2.132	0.469	0.791
48	C2-multichannel	124.638	438.637	154.967	332	220	937	2249.744	1541.941	0.605	396	2.561	0.390	0.890
49	C2-multichannel	18.168	327.116	45.298	289	241	419	1885.878	1535.361	0.867	329	1.421	0.704	0.878
50	C2-multichannel	3.380	325.750	49.103	260	260	382	2260.999	1535.739	1.000	336	1.229	0.814	0.941
51	C2-multichannel	4.225	287.300	22.356	273	255	328	2379.770	1536.924	0.806	295	2.338	0.428	0.800
52	C2-multichannel	11.408	307.963	35.882	287	246	371	2156.437	1539.086	0.836	304	1.505	0.664	0.844
53	C2-multichannel	13.943	324.545	54.450	236	236	448	1776.268	1543.473	0.747	310	1.913	0.523	0.846
54	C2-multichannel	16.478	308.026	31.291	293	241	379	2111.788	1545.189	0.750	307	2.421	0.413	0.876
55	C2-multichannel	21.548	325.686	41.816	288	248	428	1579.591	1554.045	0.981	318	1.020	0.981	0.911
56	C2-multichannel	153.368	442.061	149.044	354	205	949	2251.999	1561.628	0.662	399	1.864	0.537	0.859
57	C2-multichannel	1.690	298.500	16.783	279	279	318	2323.108	1556.115	1.000	305	1.000	1.000	1.000
58	C2-multichannel	1.268	296.333	9.292	286	286	304	1138.698	1561.407	1.000	299	1.464	0.683	0.857
59	C2-multichannel	13.943	300.394	26.084	315	242	357	1486.927	1565.919	0.747	303	1.677	0.596	0.825
60	C2-multichannel	2.113	291.000	5.477	295	285	295	963.498	1576.962	1.000	295	1.553	0.644	0.909
61	C2-multichannel	6.338	322.533	52.482	405	256	405	971.733	1577.666	0.869	303	1.682	0.595	0.789
62	C2-multichannel	2.535	300.000	15.440	276	276	314	967.838	1577.659	0.916	309	1.809	0.553	0.857
63	C2-multichannel	5.493	302.231	37.619	315	231	374	2187.217	1583.683	1.000	307	1.148	0.871	0.897
64	C2-multichannel	27.885	303.652	33.151	303	230	368	1241.525	1586.187	0.934	303	1.366	0.732	0.892
65	C2-multichannel	25.350	332.467	46.113	324	245	464	1890.139	1590.957	0.993	334	1.137	0.879	0.930
66	C2-multichannel	7.183	305.471	35.602	248	248	385	1985.619	1595.145	0.985	310	1.686	0.593	0.872
67	C2-multichannel	7.605	288.778	37.699	262	249	406	1988.574	1597.055	0.808	279	1.878	0.532	0.818
68	C2-multichannel	6.338	297.000	21.584	295	263	332	1993.179	1596.997	1.000	295	1.295	0.772	0.857
69	C2-multichannel	20.280	291.854	24.742	300	242	352	1077.969	1599.912	0.679	299	1.574	0.635	0.780
70	C2-multichannel	10.985	301.769	31.032	264	253	382	1558.621	1603.401	0.854	296	1.596	0.627	0.825
71	C2-multichannel	10.140	291.958	20.994	271	263	349	1385.378	1608.998	1.000	288	1.191	0.839	0.906
72	C2-multichannel	24.928	321.644	40.404	314	240	427	1452.682	1614.605	0.869	314	1.382	0.723	0.868
73	C2-multichannel	12.253	311.034	40.458	315	254	401	2178.953	1615.210	0.784	306	2.105	0.475	0.829
74	C2-multichannel	11.408	313.222	45.933	259	259	442	2095.206	1617.463	0.910	304	1.716	0.583	0.900
75	C2-multichannel	2.958	282.714	10.128	282	261	290	1830.808	1618.372	1.000	287	1.380	0.725	0.875
76	C2-multichannel	21.125	301.360	40.052	273	222	441	1072.934	1628.414	0.570	299	3.241	0.309	0.763
77	C2-multichannel	7.605	306.111	20.617	302	262	351	2253.024	1644.122	0.539	304	3.080	0.325	0.837
78	C2-multichannel	35.913	342.694	54.459	287	237	500	1707.094	1645.744	0.611	328	2.700	0.370	0.859
79	C2-multichannel	49.433	325.863	44.793	268	243	454	1007.575	1647.073	0.574	324	3.345	0.299	0.857
80	C2-multichannel	1.268	282.000	21.517	261	261	304	1017.359	1647.225	1.000	281	1.464	0.683	0.857
81	C2-multichannel	2.113	311.600	35.402	272	272	359	1283.255	1651.595	1.000	322	1.553	0.644	0.909
82	C2-multichannel	8.028	310.263	27.235	323	252	344	1538.776	1659.153	1.000	323	1.391	0.719	0.884
83	C2-multichannel	17.323	310.317	43.575	337	218	422	1906.596	1663.911	0.910	311	1.058	0.945	0.845
84	C2-multichannel	10.985	297.577	35.445	237	237	372	2001.770	1667.233	0.825	301	1.839	0.544	0.881
85	C2-multichannel	15.633	322.973	50.091	328	257	490	2180.027	1671.229	0.948	314	1.619	0.618	0.914
86	C2-multichannel	35.913	350.706	67.783	305	208	500	2101.140	1679.989	0.525	348	3.577	0.280	0.813
87	C2-multichannel	4.648	292.273	24.860	275	252	335	1591.197	1687.516	1.000	283	1.139	0.878	0.815
88	C2-multichannel	65.065	458.013	190.364	293	235	1093	1716.812	1691.781	0.810	396	1.397	0.716	0.906
89	C2-multichannel	18.168	302.977	27.697	314	256	366	1790.700	1694.313	0.884	298	1.624	0.616	0.905
90	C2-multichannel	13.098	334.129	74.524	227	227	525	2060.982	1695.314	0.960	321	1.342	0.745	0.886
91	C2-multichannel	8.028	305.474	27.397	300	258	350	1682.635	1706.794	1.000	302	1.396	0.717	0.905
92	C2-multichannel	108.583	418.374	120.251	322	218	828	2262.341	1714.590	0.743	390	1.775	0.563	0.910
93	C2-multichannel	9.718	287.478	22.773	276	250	326	1290.225	1716.553	0.548	280	2.431	0.411	0.719
94	C2-multichannel	10.563	302.680	26.686	296	244	370	1869.425	1720.133	0.919	301	1.710	0.585	0.943
95	C2-multichannel	6.338	284.867	18.647	274	258	330	1812.148	1720.822	1.000	289	1.295	0.772	0.857
96	C2-multichannel	35.913	354.906	66.019	282	229	529	2142.309	1727.678	0.686	350	2.447	0.409	0.872
97	C2-multichannel	12.675	321.133	36.204	300	251	386	1993.827	1732.900	0.929	316	1.555	0.643	0.857
98	C2-multichannel	7.605	286.167	21.385	270	243	322	1456.909	1736.436	0.544	288	1.729	0.579	0.655
99	C2-multichannel	19.858	364.000	74.709	291	255	578	2041.467	1737.575	0.993	352	1.297	0.771	0.904
100	C2-multichannel	27.040	312.203	35.199	303	247	391	1209.960	1740.548	0.958	310	1.187	0.842	0.914
101	C2-multichannel	21.548	361.745	81.492	283	251	540	2095.238	1755.135	0.844	340	1.730	0.578	0.895
102	C2-multichannel	21.548	323.588	45.105	256	242	403	2302.355	1758.965	0.865	327	1.332	0.751	0.872
103	C2-multichannel	22.393	311.868	47.212	236	213	429	1868.500	1762.374	0.916	308	1.088	0.919	0.883
104	C2-multichannel	39.715	349.500	69.663	266	247	513	2180.475	1768.347	0.880	337	1.340	0.746	0.904
105	C2-multichannel	25.350	320.167	35.671	308	248	408	1631.086	1768.252	0.883	325	1.533	0.652	0.863
106	C2-multichannel	19.013	371.733	90.639	282	235	551	1824.865	1771.478	0.951	360	1.442	0.694	0.891
107	C2-multichannel	39.293	317.957	46.310	259	220	447	1722.238	1780.060	0.519	313	2.566	0.390	0.750
108	C2-multichannel	2.113	283.200	30.178	244	244	328	1948.635	1782.223	0.674	278	2.610	0.383	0.769
109	C2-multichannel	12.675	303.567	22.281	313	262	346	1789.651	1785.198	1.000	313	1.438	0.695	0.938
110	C2-multichannel	18.590	406.409	98.280	283	257	642	2034.290	1785.835	0.996	404	1.329	0.752	0.917
111	C2-multichannel	1.268	289.667	21.221	275	275	314	1571.816	1789.331	1.000	280	1.464	0.683	0.857
112	C2-multichannel	22.393	356.811	65.000	389	219	494	1660.161	1796.969	0.841	355	1.718	0.582	0.869
113	C2-multichannel	46.053	350.587	66.610	312	240	575	2300.343	1805.550	0.611	341	2.776	0.360	0.823
114	C2-multichannel	27.040	317.172	36.932	294	230	417	2140.703	1810.724	0.729	310	2.246	0.445	0.853
115	C2-multichannel	11.830	300.179	24.507	281	256	380	2101.120	1818.186	0.634	299	2.363	0.423	0.747
116	C2-multichannel	17.745	328.524	42.473	312	248	398	1894.599	1830.014	0.971	328	1.087	0.920	0.933
117	C2-multichannel	12.253	303.517	28.694	266	264	355	2196.998	1836.516	0.848	305	1.622	0.616	0.866
118	C2-multichannel	5.070	283.917	23.956	232	232	314	1773.317	1836.935	0.719	289	2.506	0.399	0.800
119	C2-multichannel	30.843	353.055	76.684	276	244	561	1977.285	1839.617	0.803	337	1.586	0.631	0.864
