 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C3-multichannel	6.760	255.000	0.000	255	255	255	7425.440	1883.701	0.857	255	1.340	0.746	0.842
2	C3-multichannel	2.113	255.000	0.000	255	255	255	6510.467	1910.806	1.000	255	1.553	0.644	0.909
3	C3-multichannel	8.028	0.000	0.000	0	0	0	7433.933	1918.852	1.000	0	1.548	0.646	0.905
4	C3-multichannel	4.225	0.000	0.000	0	0	0	7129.852	1930.176	1.000	0	1.551	0.645	0.909
5	C3-multichannel	11.408	0.000	0.000	0	0	0	7430.213	1951.024	0.730	0	2.310	0.433	0.806
6	C3-multichannel	110.695	135.286	127.506	255	0	255	7609.036	1956.157	0.659	255	2.337	0.428	0.881
7	C3-multichannel	28.308	0.000	0.000	0	0	0	7434.533	1957.602	0.692	0	1.586	0.631	0.788
8	C3-multichannel	34.223	0.000	0.000	0	0	0	7438.615	1964.891	0.794	0	1.841	0.543	0.871
9	C3-multichannel	3.380	0.000	0.000	0	0	0	7443.396	1972.913	0.914	0	1.939	0.516	0.842
10	C3-multichannel	25.350	0.000	0.000	0	0	0	6768.734	1976.932	0.629	0	2.760	0.362	0.828
11	C3-multichannel	8.450	0.000	0.000	0	0	0	7245.585	1976.098	0.815	0	2.181	0.458	0.800
12	C3-multichannel	13.943	0.000	0.000	0	0	0	7675.134	1995.727	0.965	0	1.563	0.640	0.917
13	C3-multichannel	2.113	0.000	0.000	0	0	0	7434.768	2005.706	1.000	0	1.553	0.644	0.909
14	C3-multichannel	4.648	0.000	0.000	0	0	0	7345.741	2011.485	1.000	0	1.372	0.729	0.957
15	C3-multichannel	17.745	0.000	0.000	0	0	0	7345.900	2016.146	0.572	0	2.271	0.440	0.764
16	C3-multichannel	20.280	138.125	128.401	255	0	255	6697.802	2024.201	0.949	255	1.330	0.752	0.865
17	C3-multichannel	13.098	164.516	124.025	255	0	255	6506.470	2026.863	0.464	255	3.850	0.260	0.747
18	C3-multichannel	19.013	79.333	119.386	0	0	255	6576.052	2026.051	0.951	0	1.195	0.837	0.891
19	C3-multichannel	16.055	6.711	41.366	0	0	255	7512.378	2027.026	0.974	0	1.460	0.685	0.905
20	C3-multichannel	14.365	37.500	91.670	0	0	255	7724.408	2033.136	0.919	0	1.721	0.581	0.883
21	C3-multichannel	1.690	0.000	0.000	0	0	0	6552.002	2054.976	0.857	0	2.031	0.492	0.800
22	C3-multichannel	6.760	0.000	0.000	0	0	0	6549.159	2062.126	0.294	0	6.521	0.153	0.571
23	C3-multichannel	8.873	24.286	76.702	0	0	255	7118.802	2074.476	0.943	0	1.183	0.845	0.857
24	C3-multichannel	10.563	132.600	130.025	255	0	255	7270.828	2073.576	1.000	255	1.293	0.773	0.926
25	C3-multichannel	14.788	167.571	122.806	255	0	255	6701.234	2076.200	0.897	255	1.360	0.735	0.864
