 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C3-multichannel	33.378	255.000	0.000	255	255	255	2335.652	1572.248	0.857	255	1.593	0.628	0.873
2	C3-multichannel	32.955	255.000	0.000	255	255	255	2402.184	1593.584	0.889	255	1.492	0.670	0.886
3	C3-multichannel	32.110	238.224	63.638	255	0	255	2349.243	1608.087	0.735	255	2.153	0.464	0.879
4	C3-multichannel	3.803	255.000	0.000	255	255	255	2354.842	1614.203	1.000	255	1.340	0.746	0.857
5	C3-multichannel	16.478	255.000	0.000	255	255	255	2440.726	1637.759	0.883	255	1.426	0.701	0.857
6	C3-multichannel	54.503	255.000	0.000	255	255	255	2304.626	1652.132	0.593	255	1.249	0.801	0.748
7	C3-multichannel	28.730	255.000	0.000	255	255	255	2422.924	1663.570	0.803	255	1.987	0.503	0.877
8	C3-multichannel	2.535	170.000	131.681	255	0	255	2380.951	1668.551	1.000	255	1.500	0.667	1.000
9	C3-multichannel	23.238	255.000	0.000	255	255	255	2444.243	1679.606	0.721	255	1.757	0.569	0.840
10	C3-multichannel	152.100	255.000	0.000	255	255	255	2298.065	1703.815	0.273	255	3.427	0.292	0.573
11	C3-multichannel	9.295	255.000	0.000	255	255	255	2303.335	1694.048	0.988	255	1.475	0.678	0.880
12	C3-multichannel	67.178	255.000	0.000	255	255	255	2508.328	1699.160	0.783	255	1.667	0.600	0.893
13	C3-multichannel	1.690	255.000	0.000	255	255	255	2363.401	1703.651	1.000	255	1.000	1.000	1.000
14	C3-multichannel	23.660	255.000	0.000	255	255	255	2358.340	1710.197	0.750	255	2.141	0.467	0.868
15	C3-multichannel	44.785	255.000	0.000	255	255	255	2316.435	1713.198	0.866	255	1.112	0.900	0.906
16	C3-multichannel	8.873	255.000	0.000	255	255	255	2310.054	1717.873	1.000	255	1.475	0.678	0.933
17	C3-multichannel	3.803	255.000	0.000	255	255	255	2311.942	1727.664	1.000	255	1.536	0.651	0.857
18	C3-multichannel	18.590	255.000	0.000	255	255	255	2308.609	1735.663	0.535	255	3.028	0.330	0.822
19	C3-multichannel	58.305	255.000	0.000	255	255	255	2649.688	1740.540	0.455	255	4.440	0.225	0.802
20	C3-multichannel	10.140	255.000	0.000	255	255	255	2645.961	1736.096	0.941	255	1.801	0.555	0.941
21	C3-multichannel	25.773	255.000	0.000	255	255	255	2469.804	1739.385	0.877	255	1.689	0.592	0.897
22	C3-multichannel	35.490	251.964	27.823	255	0	255	2397.314	1747.353	0.658	255	1.517	0.659	0.844
23	C3-multichannel	102.668	225.617	81.588	255	0	255	2310.535	1756.335	0.431	255	2.517	0.397	0.750
24	C3-multichannel	15.210	255.000	0.000	255	255	255	2640.301	1748.501	0.832	255	1.880	0.532	0.878
25	C3-multichannel	83.233	244.645	50.461	255	0	255	2550.809	1752.739	0.610	255	2.380	0.420	0.870
26	C3-multichannel	37.180	255.000	0.000	255	255	255	2488.267	1758.524	0.564	255	1.841	0.543	0.775
27	C3-multichannel	3.803	0.000	0.000	0	0	0	2305.587	1771.070	0.482	0	4.087	0.245	0.621
28	C3-multichannel	6.338	255.000	0.000	255	255	255	2582.386	1776.732	0.898	255	2.148	0.466	0.909
29	C3-multichannel	52.390	71.976	115.241	0	0	255	2285.447	1783.721	0.201	0	8.466	0.118	0.589
30	C3-multichannel	67.178	255.000	0.000	255	255	255	2562.977	1788.410	0.164	255	9.077	0.110	0.534
31	C3-multichannel	1.268	0.000	0.000	0	0	0	2275.759	1786.959	1.000	0	1.464	0.683	0.857
32	C3-multichannel	97.598	253.896	16.778	255	0	255	2359.283	1800.698	0.525	255	2.049	0.488	0.837
33	C3-multichannel	1.690	255.000	0.000	255	255	255	2549.951	1801.801	1.000	255	1.000	1.000	1.000
34	C3-multichannel	37.180	255.000	0.000	255	255	255	2455.952	1810.908	0.592	255	2.964	0.337	0.859
35	C3-multichannel	3.803	255.000	0.000	255	255	255	2539.226	1817.292	1.000	255	1.542	0.648	0.857
36	C3-multichannel	29.998	233.451	71.432	255	0	255	2643.046	1819.646	0.781	255	2.110	0.474	0.871
37	C3-multichannel	34.223	236.111	67.198	255	0	255	2533.237	1823.446	0.703	255	2.137	0.468	0.835
38	C3-multichannel	39.715	238.723	62.669	255	0	255	2701.770	1826.774	0.566	255	2.454	0.408	0.746
39	C3-multichannel	1.690	255.000	0.000	255	255	255	2456.026	1823.251	0.645	255	4.000	0.250	1.000
40	C3-multichannel	20.280	255.000	0.000	255	255	255	2527.350	1832.500	0.707	255	2.355	0.425	0.821
41	C3-multichannel	10.563	255.000	0.000	255	255	255	3866.890	1847.496	1.000	255	1.312	0.762	0.926
42	C3-multichannel	37.180	249.205	38.221	255	0	255	2709.488	1851.495	0.922	255	1.217	0.822	0.912
43	C3-multichannel	32.955	255.000	0.000	255	255	255	2568.251	1851.317	0.745	255	2.082	0.480	0.867
44	C3-multichannel	29.575	255.000	0.000	255	255	255	2407.499	1852.751	0.839	255	1.648	0.607	0.886
45	C3-multichannel	31.688	227.800	79.246	255	0	255	2522.258	1854.106	0.640	255	2.279	0.439	0.862
46	C3-multichannel	58.728	255.000	0.000	255	255	255	3815.462	1862.323	0.429	255	4.462	0.224	0.779
47	C3-multichannel	104.358	247.773	42.401	255	0	255	2620.628	1866.782	0.825	255	1.809	0.553	0.930
48	C3-multichannel	30.420	191.250	111.193	255	0	255	2522.206	1865.176	0.641	255	2.618	0.382	0.842
49	C3-multichannel	41.405	255.000	0.000	255	255	255	2327.027	1864.910	0.901	255	1.710	0.585	0.947
50	C3-multichannel	24.083	255.000	0.000	255	255	255	2432.911	1869.566	0.776	255	2.025	0.494	0.870
51	C3-multichannel	33.378	255.000	0.000	255	255	255	2322.307	1874.473	0.775	255	1.708	0.585	0.893
52	C3-multichannel	29.575	255.000	0.000	255	255	255	3884.875	1883.970	0.826	255	1.776	0.563	0.881
53	C3-multichannel	86.613	253.756	17.810	255	0	255	2756.224	1890.223	0.574	255	1.904	0.525	0.802
54	C3-multichannel	11.830	255.000	0.000	255	255	255	2447.785	1892.499	0.592	255	2.778	0.360	0.800
55	C3-multichannel	21.125	255.000	0.000	255	255	255	2680.588	1897.559	0.848	255	1.337	0.748	0.847
56	C3-multichannel	24.928	255.000	0.000	255	255	255	2405.601	1901.454	0.905	255	1.467	0.682	0.874
57	C3-multichannel	16.055	255.000	0.000	255	255	255	2675.794	1905.219	0.483	255	3.845	0.260	0.738
58	C3-multichannel	13.098	255.000	0.000	255	255	255	2527.086	1910.822	0.795	255	1.649	0.606	0.816
59	C3-multichannel	38.870	255.000	0.000	255	255	255	2589.453	1911.969	0.673	255	1.310	0.763	0.829
60	C3-multichannel	5.915	255.000	0.000	255	255	255	2672.755	1912.161	0.911	255	1.563	0.640	0.848
61	C3-multichannel	59.995	206.514	100.419	255	0	255	3605.616	1915.305	0.699	255	2.380	0.420	0.871
62	C3-multichannel	215.898	222.065	85.605	255	0	255	2477.723	1922.760	0.731	255	2.021	0.495	0.902
63	C3-multichannel	12.675	255.000	0.000	255	255	255	3956.768	1918.562	0.566	255	1.851	0.540	0.723
64	C3-multichannel	5.493	255.000	0.000	255	255	255	3591.826	1918.226	1.000	255	1.159	0.863	0.897
65	C3-multichannel	12.253	255.000	0.000	255	255	255	3894.656	1919.193	0.767	255	2.573	0.389	0.806
66	C3-multichannel	35.490	255.000	0.000	255	255	255	2852.998	1923.939	0.400	255	4.084	0.245	0.656
67	C3-multichannel	32.110	93.947	123.823	0	0	255	3622.753	1924.140	0.603	0	1.604	0.624	0.727
68	C3-multichannel	79.008	241.364	57.524	255	0	255	3650.583	1924.535	0.360	255	2.867	0.349	0.642
69	C3-multichannel	17.745	0.000	0.000	0	0	0	3627.651	1926.121	0.726	0	1.191	0.840	0.785
70	C3-multichannel	23.238	255.000	0.000	255	255	255	2612.877	1929.124	0.910	255	1.423	0.703	0.902
71	C3-multichannel	1.690	0.000	0.000	0	0	0	3640.001	1927.901	1.000	0	1.000	1.000	1.000
72	C3-multichannel	11.830	255.000	0.000	255	255	255	3845.401	1929.340	0.920	255	1.316	0.760	0.862
73	C3-multichannel	18.168	255.000	0.000	255	255	255	2393.943	1934.212	1.000	255	1.129	0.886	0.896
74	C3-multichannel	30.420	255.000	0.000	255	255	255	3730.424	1936.576	0.863	255	1.688	0.593	0.917
75	C3-multichannel	66.755	224.335	83.204	255	0	255	2487.217	1939.509	0.904	255	1.381	0.724	0.921
76	C3-multichannel	2.958	255.000	0.000	255	255	255	3645.991	1935.747	0.943	255	1.936	0.517	0.933
77	C3-multichannel	32.110	255.000	0.000	255	255	255	3935.409	1944.151	0.897	255	1.402	0.713	0.884
78	C3-multichannel	26.618	255.000	0.000	255	255	255	3566.505	1950.336	0.783	255	1.247	0.802	0.834
79	C3-multichannel	33.800	255.000	0.000	255	255	255	2782.277	1961.108	0.822	255	1.575	0.635	0.920
80	C3-multichannel	40.138	255.000	0.000	255	255	255	2773.705	1962.819	0.650	255	2.554	0.392	0.848
81	C3-multichannel	78.585	255.000	0.000	255	255	255	2862.468	1967.135	0.596	255	2.611	0.383	0.884
82	C3-multichannel	28.308	255.000	0.000	255	255	255	3570.010	1968.138	0.815	255	2.165	0.462	0.944
83	C3-multichannel	66.755	250.158	34.913	255	0	255	2836.532	1971.356	0.864	255	1.363	0.734	0.893
84	C3-multichannel	88.725	233.143	71.556	255	0	255	2723.125	1972.815	0.515	255	3.428	0.292	0.822
85	C3-multichannel	43.518	227.767	79.143	255	0	255	2831.980	1978.954	0.935	255	1.063	0.941	0.924
86	C3-multichannel	19.013	255.000	0.000	255	255	255	2624.939	1977.626	0.613	255	3.053	0.328	0.804
87	C3-multichannel	23.238	255.000	0.000	255	255	255	2676.470	1978.323	0.749	255	2.138	0.468	0.833
88	C3-multichannel	67.178	255.000	0.000	255	255	255	2809.548	1979.874	0.455	255	3.251	0.308	0.820
89	C3-multichannel	2.958	255.000	0.000	255	255	255	2636.262	1977.904	1.000	255	1.936	0.517	0.933
90	C3-multichannel	34.645	255.000	0.000	255	255	255	4015.844	1987.265	0.928	255	1.093	0.915	0.959
91	C3-multichannel	13.098	255.000	0.000	255	255	255	2610.789	1987.439	0.838	255	2.141	0.467	0.873
92	C3-multichannel	16.478	255.000	0.000	255	255	255	2518.876	1989.526	0.750	255	2.148	0.466	0.839
93	C3-multichannel	20.703	255.000	0.000	255	255	255	2597.885	1992.138	0.403	255	5.480	0.182	0.737
94	C3-multichannel	17.745	255.000	0.000	255	255	255	3621.863	1991.322	0.604	255	2.531	0.395	0.832
95	C3-multichannel	15.210	247.917	42.500	255	0	255	2525.873	1991.499	0.606	255	2.800	0.357	0.818
