 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1	MD08_GAL-ECS_2021.03.24_s1:0001-0870:1	52944.426	325.722	647.627	198	141	10776	0.205	207	1	1.954	0.512	0.495	672.043	1301.039	17.811
2	MD08_GAL-ECS_2021.03.24_s1:0002-0812:1	6178.652	308.393	407.088	218	203	5996	0.708	234	1	2.179	0.459	0.920	1328.087	1706.345	25.232
3	MD08_GAL-ECS_2021.03.24_s1:0003-0834:1	5982.612	282.697	382.245	237	213	7608	0.686	237	1	2.426	0.412	0.931	1506.153	2143.225	15.949
4	MD08_GAL-ECS_2021.03.24_s1:0004-0844:1	4454.849	326.851	511.675	227	209	8938	0.777	232	1	1.577	0.634	0.942	1275.751	1712.823	53.643
5	MD08_GAL-ECS_2021.03.24_s1:0005-0851:1	6388.213	283.947	325.274	217	207	5086	0.730	224	1	1.028	0.972	0.905	1334.655	1800.806	42.408
6	MD08_GAL-ECS_2021.03.24_s1:0006-0877:1	6597.773	246.702	165.265	220	200	3393	0.805	221	1	1.312	0.762	0.931	1306.676	1772.402	15.590
7	MD08_GAL-ECS_2021.03.24_s1:0007-0883:1	5232.250	282.632	284.746	220	203	4980	0.566	226	1	2.615	0.382	0.855	1079.240	1738.623	43.642
8	MD08_GAL-ECS_2021.03.24_s1:0008-0884:1	3947.848	328.505	517.172	221	206	6624	0.687	227	1	1.737	0.576	0.905	1509.023	2264.423	54.517
9	MD08_GAL-ECS_2021.03.24_s1:0009-0911:1	4184.448	220.045	126.593	208	187	2773	0.693	208	1	1.443	0.693	0.899	851.105	1352.645	42.763
10	MD08_GAL-ECS_2021.03.24_s1:0010-0922:1	4826.650	235.853	167.657	219	191	3586	0.344	218	1	5.455	0.183	0.741	858.880	1591.237	35.920
11	MD08_GAL-ECS_2021.03.24_s1:0011-0915:1	3008.206	247.364	310.818	213	192	4450	0.559	212	1	2.876	0.348	0.899	499.529	853.170	49.910
12	MD08_GAL-ECS_2021.03.24_s1:0012-0927:1	7408.975	284.519	308.530	224	201	5389	0.572	228	1	3.244	0.308	0.850	1266.748	1800.834	13.114
13	MD08_GAL-ECS_2021.03.24_s1:0013-0934:1	4799.610	311.506	439.073	222	204	5655	0.598	225	1	1.928	0.519	0.885	1325.904	1930.235	37.306
