 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1	MD10_SEM-ECS_2021.03.24_s0:0001-0524:1	824.722	189.066	61.315	162	135	488	0.224	167	1	3.553	0.281	0.507	190.943	99.018	2.082
2	MD10_SEM-ECS_2021.03.24_s0:0002-0540:1	3461.127	174.818	55.240	152	140	642	0.761	160	1	1.416	0.706	0.905	256.982	228.036	18.018
3	MD10_SEM-ECS_2021.03.24_s0:0003-0537:1	2210.524	161.046	56.021	142	129	539	0.810	145	1	1.428	0.700	0.941	189.053	111.123	11.391
4	MD10_SEM-ECS_2021.03.24_s0:0004-0547:1	2264.605	170.499	8.905	166	159	242	0.591	169	1	2.785	0.359	0.878	283.832	327.115	12.304
5	MD10_SEM-ECS_2021.03.24_s0:0005-0552:1	3515.207	249.381	311.428	181	147	3355	0.759	180	1	1.910	0.523	0.931	252.144	293.632	22.040
6	MD10_SEM-ECS_2021.03.24_s0:0006-0551:1	2643.165	168.069	35.649	161	151	586	0.593	163	1	2.713	0.369	0.882	205.081	181.721	13.422
7	MD10_SEM-ECS_2021.03.24_s0:0007-0552:1	3116.366	180.219	34.899	173	161	648	0.722	174	1	1.792	0.558	0.928	394.761	430.622	26.460
8	MD10_SEM-ECS_2021.03.24_s0:0008-0572:1	13695.787	162.000	42.061	163	126	870	0.439	157	1	1.790	0.559	0.667	249.781	230.780	25.468
9	MD10_SEM-ECS_2021.03.24_s0:0009-0566:1	3075.806	186.598	108.108	160	147	1294	0.337	163	1	3.706	0.270	0.800	314.416	340.318	4.879
10	MD10_SEM-ECS_2021.03.24_s0:0010-0549:1	1243.842	212.489	80.635	162	155	715	0.809	187	1	1.607	0.622	0.932	300.173	313.179	20.130
11	MD10_SEM-ECS_2021.03.24_s0:0011-0577:1	13722.827	203.945	162.000	167	126	2125	0.484	169	1	1.119	0.893	0.739	243.145	239.758	45.012
12	MD10_SEM-ECS_2021.03.24_s0:0012-0584:1	6313.853	176.676	73.494	160	150	1460	0.762	168	1	1.615	0.619	0.927	352.387	346.431	22.151
13	MD10_SEM-ECS_2021.03.24_s0:0013-0580:1	3359.727	185.950	24.511	180	168	560	0.744	182	1	1.338	0.747	0.888	291.727	312.160	33.996
14	MD10_SEM-ECS_2021.03.24_s0:0014-0590:1	7199.414	197.320	119.629	161	150	1600	0.568	170	1	2.118	0.472	0.827	294.638	271.359	50.736
15	MD10_SEM-ECS_2021.03.24_s0:0015-0587:1	3062.286	191.108	35.012	183	163	665	0.786	186	1	1.702	0.588	0.938	374.658	438.517	47.609
16	MD10_SEM-ECS_2021.03.24_s0:0016-0594:1	5563.491	201.249	176.864	176	159	2467	0.723	176	1	1.951	0.513	0.921	354.934	426.805	29.125
17	MD10_SEM-ECS_2021.03.24_s0:0017-0589:1	1622.403	188.146	105.995	163	155	1033	0.600	168	1	2.879	0.347	0.886	345.647	392.249	9.988
18	MD10_SEM-ECS_2021.03.24_s0:0018-0599:1	4292.609	211.836	146.362	184	141	1804	0.764	185	1	1.786	0.560	0.946	414.510	576.138	28.981
19	MD10_SEM-ECS_2021.03.24_s0:0019-0600:1	3183.966	184.996	74.003	168	164	1243	0.782	172	1	1.661	0.602	0.941	394.034	389.746	20.034
20	MD10_SEM-ECS_2021.03.24_s0:0020-0611:1	4826.650	208.136	125.985	188	167	1955	0.688	189	1	2.181	0.458	0.928	353.017	485.955	53.343
21	MD10_SEM-ECS_2021.03.24_s0:0021-0609:1	5320.131	176.230	17.722	168	157	418	0.825	173	1	1.515	0.660	0.945	311.813	298.489	17.760
22	MD10_SEM-ECS_2021.03.24_s0:0022-0610:1	3974.888	229.844	190.472	157	128	2094	0.823	189	1	1.121	0.892	0.935	231.516	204.533	73.417
23	MD10_SEM-ECS_2021.03.24_s0:0023-0604:1	703.041	218.096	73.964	196	186	783	0.736	197	1	2.166	0.462	0.908	437.431	504.533	12.048
24	MD10_SEM-ECS_2021.03.24_s0:0024-0627:1	5962.332	188.638	151.141	160	142	2351	0.723	164	1	2.255	0.443	0.952	313.862	375.424	37.281
25	MD10_SEM-ECS_2021.03.24_s0:0025-0621:1	3271.847	217.089	115.928	192	161	1519	0.702	194	1	1.640	0.610	0.911	512.329	734.290	60.572
26	MD10_SEM-ECS_2021.03.24_s0:0026-0630:1	6989.854	167.406	29.821	163	148	858	0.613	164	1	2.434	0.411	0.877	275.016	277.395	38.218
27	MD10_SEM-ECS_2021.03.24_s0:0027-0635:1	5380.971	179.492	95.051	160	145	2052	0.617	162	1	2.787	0.359	0.914	291.206	282.775	59.082
28	MD10_SEM-ECS_2021.03.24_s0:0028-0631:1	7158.854	170.672	98.920	155	140	1803	0.698	156	1	1.932	0.518	0.914	250.673	269.616	65.859
29	MD10_SEM-ECS_2021.03.24_s0:0029-0631:1	4049.248	223.688	198.101	184	149	2186	0.818	185	1	1.468	0.681	0.934	483.668	704.121	22.050
30	MD10_SEM-ECS_2021.03.24_s0:0030-0628:1	2940.606	208.874	83.835	190	183	1235	0.734	194	1	1.307	0.765	0.895	444.000	568.148	35.621
31	MD10_SEM-ECS_2021.03.24_s0:0031-0636:1	4542.729	182.065	94.495	165	152	1389	0.611	165	1	2.306	0.434	0.864	336.775	394.537	11.374
32	MD10_SEM-ECS_2021.03.24_s0:0032-0635:1	2535.005	192.904	57.985	186	137	870	0.758	185	1	1.775	0.563	0.920	253.878	308.584	40.976
33	MD10_SEM-ECS_2021.03.24_s0:0033-0728:1	63037.126	210.891	150.045	182	124	2123	0.146	183	1	1.230	0.813	0.450	252.434	213.304	20.790
34	MD10_SEM-ECS_2021.03.24_s0:0034-0647:1	8652.817	182.771	139.326	163	128	2296	0.757	161	1	1.452	0.689	0.926	268.369	271.003	84.043
35	MD10_SEM-ECS_2021.03.24_s0:0035-0645:1	2940.606	182.448	17.333	179	166	413	0.699	179	1	1.954	0.512	0.887	307.142	430.454	16.462
36	MD10_SEM-ECS_2021.03.24_s0:0036-0646:1	3143.406	181.871	62.272	175	145	1437	0.732	176	1	2.141	0.467	0.935	320.800	361.406	9.417
37	MD10_SEM-ECS_2021.03.24_s0:0037-0653:1	4062.768	194.651	29.841	186	174	545	0.720	188	1	1.879	0.532	0.913	402.248	455.855	40.251
38	MD10_SEM-ECS_2021.03.24_s0:0038-0655:1	3467.887	211.540	107.399	191	176	1468	0.693	192	1	2.193	0.456	0.915	550.460	694.139	43.051
39	MD10_SEM-ECS_2021.03.24_s0:0039-0657:1	4394.009	207.740	114.048	177	167	1724	0.713	184	1	2.127	0.470	0.948	531.954	729.839	54.038
40	MD10_SEM-ECS_2021.03.24_s0:0040-0660:1	4468.369	207.994	156.060	161	147	1499	0.730	169	1	1.467	0.682	0.882	341.972	428.233	31.227
41	MD10_SEM-ECS_2021.03.24_s0:0041-0666:1	7746.975	166.500	77.110	158	137	1429	0.653	157	1	1.973	0.507	0.890	269.258	279.482	77.277
42	MD10_SEM-ECS_2021.03.24_s0:0042-0673:1	7267.015	171.653	28.966	168	135	700	0.615	169	1	2.432	0.411	0.850	280.195	268.254	25.224
43	MD10_SEM-ECS_2021.03.24_s0:0043-0669:1	3481.407	232.781	208.608	179	136	2567	0.703	190	1	1.882	0.531	0.898	339.847	448.652	12.089
44	MD10_SEM-ECS_2021.03.24_s0:0044-0682:1	10829.542	224.151	233.591	160	130	2978	0.583	169	1	1.696	0.590	0.834	410.131	524.640	75.010
45	MD10_SEM-ECS_2021.03.24_s0:0045-0683:1	5556.731	187.611	78.226	164	153	1031	0.704	169	1	2.004	0.499	0.908	367.322	426.017	24.815
46	MD10_SEM-ECS_2021.03.24_s0:0046-0676:1	4738.769	233.143	129.321	192	169	1319	0.469	201	1	4.164	0.240	0.874	320.617	245.727	33.549
47	MD10_SEM-ECS_2021.03.24_s0:0047-0681:1	2758.086	213.542	172.551	187	177	2988	0.846	189	1	1.540	0.649	0.943	541.538	653.405	47.760
48	MD10_SEM-ECS_2021.03.24_s0:0048-0698:1	8436.497	195.027	153.032	164	133	1905	0.591	165	1	2.384	0.420	0.868	296.704	314.298	21.502
49	MD10_SEM-ECS_2021.03.24_s0:0049-0682:1	1392.563	161.738	16.619	170	132	257	0.667	166	1	2.150	0.465	0.871	235.793	240.153	9.748
50	MD10_SEM-ECS_2021.03.24_s0:0050-0690:1	8375.657	181.299	105.538	160	143	1526	0.615	163	1	1.458	0.686	0.886	301.512	336.213	49.554
51	MD10_SEM-ECS_2021.03.24_s0:0051-0679:1	939.642	158.288	73.090	132	129	849	0.721	140	1	2.073	0.482	0.888	348.239	283.503	29.187
52	MD10_SEM-ECS_2021.03.24_s0:0052-0691:1	2575.565	205.780	145.585	178	164	1532	0.650	179	1	2.380	0.420	0.888	439.762	568.837	38.672
53	MD10_SEM-ECS_2021.03.24_s0:0053-0693:1	3826.168	216.426	156.909	183	139	2231	0.750	191	1	1.808	0.553	0.931	405.860	521.044	26.896
54	MD10_SEM-ECS_2021.03.24_s0:0054-0703:1	7632.055	193.696	120.313	165	156	1637	0.703	168	1	1.917	0.522	0.937	360.365	399.137	57.966
55	MD10_SEM-ECS_2021.03.24_s0:0055-0696:1	6935.774	195.347	49.068	189	161	1279	0.490	188	1	3.219	0.311	0.850	314.021	226.361	47.302
56	MD10_SEM-ECS_2021.03.24_s0:0056-0709:1	9132.778	205.326	182.783	167	156	2857	0.743	172	1	1.206	0.829	0.901	390.058	537.101	39.690
57	MD10_SEM-ECS_2021.03.24_s0:0057-0711:1	3305.647	304.581	290.965	222	185	2909	0.839	231	1	1.509	0.663	0.944	503.822	560.602	43.311
58	MD10_SEM-ECS_2021.03.24_s0:0058-0718:1	9923.700	176.390	134.225	155	146	2641	0.761	158	1	1.635	0.612	0.933	323.326	349.107	63.846
59	MD10_SEM-ECS_2021.03.24_s0:0059-0710:1	892.322	364.545	545.378	135	133	3490	0.771	149	1	1.895	0.528	0.910	364.890	518.188	77.667
60	MD10_SEM-ECS_2021.03.24_s0:0060-0729:1	5577.011	190.389	113.906	179	159	2726	0.664	179	1	2.265	0.441	0.900	392.896	535.459	20.433
61	MD10_SEM-ECS_2021.03.24_s0:0061-0752:1	9950.740	203.717	102.461	181	146	1849	0.316	186	1	4.335	0.231	0.626	353.269	296.010	32.955
62	MD10_SEM-ECS_2021.03.24_s0:0062-0725:1	3244.806	199.031	113.438	181	169	1678	0.792	181	1	1.504	0.665	0.927	411.447	454.465	56.283
63	MD10_SEM-ECS_2021.03.24_s0:0063-0727:1	3555.767	265.112	261.575	131	129	2099	0.681	184	1	1.673	0.598	0.861	437.419	538.684	93.555
64	MD10_SEM-ECS_2021.03.24_s0:0064-0756:1	13432.147	199.559	90.680	183	138	1204	0.363	183	1	4.412	0.227	0.677	307.089	258.402	41.071
65	MD10_SEM-ECS_2021.03.24_s0:0065-0733:1	7233.214	174.537	78.647	163	152	1609	0.786	165	1	1.258	0.795	0.914	320.486	344.224	18.991
66	MD10_SEM-ECS_2021.03.24_s0:0066-0734:1	3832.928	199.760	50.856	203	136	652	0.512	196	1	3.865	0.259	0.855	313.496	262.229	22.247
67	MD10_SEM-ECS_2021.03.24_s0:0067-0733:1	3785.608	239.529	206.973	185	136	1758	0.533	185	1	2.499	0.400	0.790	529.824	764.121	31.768
68	MD10_SEM-ECS_2021.03.24_s0:0068-0727:1	2562.045	255.269	300.520	183	169	2339	0.765	181	1	2.103	0.476	0.917	385.598	455.812	58.538
69	MD10_SEM-ECS_2021.03.24_s0:0069-0734:1	4143.888	255.498	175.337	191	177	1819	0.716	204	1	1.620	0.617	0.917	493.445	697.343	25.142
70	MD10_SEM-ECS_2021.03.24_s0:0070-0739:1	5759.532	200.593	118.773	183	164	2116	0.850	185	1	1.268	0.788	0.949	474.132	602.179	18.466
71	MD10_SEM-ECS_2021.03.24_s0:0071-0732:1	2048.284	247.564	152.331	206	183	1740	0.825	208	1	1.590	0.629	0.940	411.575	483.055	7.376
72	MD10_SEM-ECS_2021.03.24_s0:0072-0747:1	4272.329	225.291	223.360	185	163	3236	0.541	185	1	3.494	0.286	0.869	432.757	580.834	35.274
73	MD10_SEM-ECS_2021.03.24_s0:0073-0735:1	1318.203	175.123	7.008	171	162	205	0.804	174	1	1.035	0.966	0.909	370.786	471.318	41.851
74	MD10_SEM-ECS_2021.03.24_s0:0074-0749:1	4826.650	190.531	89.793	176	164	1480	0.686	176	1	2.196	0.455	0.918	360.371	441.588	85.216
