 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1	MD14_SEM_Sam31-ECS_2021.03.24_s0:0001-0552:1	4529.209	241.685	240.275	137	134	2153	0.250	178	1	4.343	0.230	0.702	335.660	456.608	5.527
2	MD14_SEM_Sam31-ECS_2021.03.24_s0:0002-0562:1	3305.647	259.914	223.800	213	167	2469	0.722	212	1	1.570	0.637	0.948	503.632	577.528	17.317
3	MD14_SEM_Sam31-ECS_2021.03.24_s0:0003-0607:1	24991.770	256.306	228.829	194	138	3175	0.251	204	1	3.466	0.288	0.615	623.918	809.523	20.760
4	MD14_SEM_Sam31-ECS_2021.03.24_s0:0004-0590:1	10883.622	307.763	373.784	218	188	4829	0.563	221	1	2.168	0.461	0.835	998.510	934.280	26.962
5	MD14_SEM_Sam31-ECS_2021.03.24_s0:0005-0610:1	28013.496	319.130	260.727	234	150	2925	0.450	246	1	1.894	0.528	0.759	1029.072	1007.021	47.056
6	MD14_SEM_Sam31-ECS_2021.03.24_s0:0006-0609:1	5955.572	374.005	310.028	239	214	3188	0.632	286	1	1.871	0.535	0.868	1137.273	1165.094	20.856
7	MD14_SEM_Sam31-ECS_2021.03.24_s0:0007-0617:1	11620.463	264.910	181.542	215	205	3202	0.766	226	1	1.506	0.664	0.950	1304.562	1136.045	38.781
8	MD14_SEM_Sam31-ECS_2021.03.24_s0:0008-0596:1	1088.362	489.317	360.473	189	148	2331	0.270	326	1	2.265	0.442	0.587	755.704	966.732	4.118
9	MD14_SEM_Sam31-ECS_2021.03.24_s0:0009-0632:1	13134.706	269.539	116.990	232	215	1993	0.634	239	1	2.412	0.415	0.890	1112.283	949.035	70.245
10	MD14_SEM_Sam31-ECS_2021.03.24_s0:0010-0637:1	11735.383	303.544	280.718	232	212	4222	0.598	242	1	2.627	0.381	0.884	1154.103	1161.337	56.168
11	MD14_SEM_Sam31-ECS_2021.03.24_s0:0011-0613:1	4204.728	332.217	317.170	228	166	2813	0.634	244	1	2.045	0.489	0.859	850.685	1003.889	12.638
12	MD14_SEM_Sam31-ECS_2021.03.24_s0:0012-0638:1	15987.432	226.866	117.269	199	154	2027	0.656	206	1	1.780	0.562	0.894	794.198	920.213	29.752
13	MD14_SEM_Sam31-ECS_2021.03.24_s0:0013-0641:1	11661.023	258.189	176.329	225	175	2498	0.660	224	1	2.006	0.498	0.901	855.796	1013.429	48.050
14	MD14_SEM_Sam31-ECS_2021.03.24_s0:0014-0649:1	13966.188	266.724	236.939	221	205	3994	0.703	225	1	1.876	0.533	0.943	1100.667	1125.404	82.781
15	MD14_SEM_Sam31-ECS_2021.03.24_s0:0015-0647:1	12303.225	412.207	407.876	251	186	3479	0.491	275	1	1.677	0.596	0.738	679.420	736.076	14.555
16	MD14_SEM_Sam31-ECS_2021.03.24_s0:0016-0675:1	27141.454	252.084	267.760	196	167	5714	0.462	201	1	2.466	0.405	0.780	699.384	875.275	58.579
17	MD14_SEM_Sam31-ECS_2021.03.24_s0:0017-0659:1	13587.627	255.218	144.054	214	198	2216	0.699	227	1	2.180	0.459	0.915	1321.016	1214.368	64.669
18	MD14_SEM_Sam31-ECS_2021.03.24_s0:0018-0640:1	6016.412	492.940	561.827	275	254	4525	0.759	305	1	1.600	0.625	0.899	1027.534	949.194	27.417
19	MD14_SEM_Sam31-ECS_2021.03.24_s0:0019-0689:1	29284.379	321.812	422.068	232	158	6332	0.561	236	1	2.152	0.465	0.895	1295.760	1350.120	110.854
20	MD14_SEM_Sam31-ECS_2021.03.24_s0:0020-0676:1	15081.590	289.156	312.690	221	210	6066	0.644	235	1	2.353	0.425	0.937	1394.472	1304.315	100.448
21	MD14_SEM_Sam31-ECS_2021.03.24_s0:0021-0668:1	14033.788	309.155	307.795	225	195	4315	0.732	231	1	1.688	0.593	0.938	747.939	895.758	30.013
22	MD14_SEM_Sam31-ECS_2021.03.24_s0:0022-0664:1	3048.766	314.499	316.572	230	217	4678	0.750	239	1	1.558	0.642	0.932	1245.958	1179.520	54.255
23	MD14_SEM_Sam31-ECS_2021.03.24_s0:0023-0666:1	5455.331	437.715	404.812	288	220	3698	0.836	298	1	1.212	0.825	0.933	892.939	895.903	19.208
24	MD14_SEM_Sam31-ECS_2021.03.24_s0:0024-0681:1	9903.420	358.408	499.026	215	201	5536	0.510	228	1	3.165	0.316	0.806	1009.234	1003.547	66.412
25	MD14_SEM_Sam31-ECS_2021.03.24_s0:0025-0677:1	8619.017	277.313	218.954	216	202	2550	0.844	225	1	1.293	0.774	0.955	910.854	846.972	72.515
26	MD14_SEM_Sam31-ECS_2021.03.24_s0:0026-0686:1	7564.455	266.236	180.704	220	205	2694	0.650	231	1	1.970	0.508	0.894	999.525	1001.169	84.822
27	MD14_SEM_Sam31-ECS_2021.03.24_s0:0027-0690:1	9328.819	301.069	239.250	249	226	3791	0.683	260	1	2.036	0.491	0.928	1459.489	1446.111	128.193
28	MD14_SEM_Sam31-ECS_2021.03.24_s0:0028-0694:1	9971.020	318.950	310.220	207	190	3636	0.628	228	1	2.162	0.463	0.888	1363.209	1112.774	42.643
29	MD14_SEM_Sam31-ECS_2021.03.24_s0:0029-0700:1	9747.939	425.220	570.012	231	219	5581	0.739	248	1	1.718	0.582	0.942	1403.727	1398.130	104.590
30	MD14_SEM_Sam31-ECS_2021.03.24_s0:0030-0703:1	9166.578	311.652	372.473	227	211	7965	0.543	248	1	2.854	0.350	0.883	1152.313	1183.388	130.127
31	MD14_SEM_Sam31-ECS_2021.03.24_s0:0031-0696:1	8240.456	299.031	195.439	228	212	2659	0.784	244	1	1.667	0.600	0.945	1276.585	1094.026	62.857
32	MD14_SEM_Sam31-ECS_2021.03.24_s0:0032-0700:1	12587.145	262.691	227.436	198	150	2597	0.828	204	1	1.205	0.830	0.956	788.065	849.202	58.095
33	MD14_SEM_Sam31-ECS_2021.03.24_s0:0033-0697:1	7496.855	434.555	531.253	221	200	3921	0.686	237	1	1.613	0.620	0.887	920.373	1070.621	23.495
34	MD14_SEM_Sam31-ECS_2021.03.24_s0:0034-0704:1	10741.661	290.481	284.240	200	190	3458	0.740	215	1	1.646	0.608	0.939	1105.669	1044.927	35.519
35	MD14_SEM_Sam31-ECS_2021.03.24_s0:0035-0704:1	6591.013	259.823	232.240	202	190	3546	0.700	216	1	1.789	0.559	0.917	737.718	766.260	73.186
36	MD14_SEM_Sam31-ECS_2021.03.24_s0:0036-0708:1	8801.538	294.702	120.453	248	232	1762	0.675	267	1	1.938	0.516	0.925	1658.545	1565.304	143.379
37	MD14_SEM_Sam31-ECS_2021.03.24_s0:0037-0708:1	3765.328	399.167	541.246	218	211	5010	0.645	232	1	1.535	0.652	0.858	1007.013	1051.814	56.786
38	MD14_SEM_Sam31-ECS_2021.03.24_s0:0038-0735:1	18846.918	300.877	278.552	220	186	4587	0.501	233	1	2.688	0.372	0.774	1093.396	966.048	54.077
39	MD14_SEM_Sam31-ECS_2021.03.24_s0:0039-0732:1	13459.187	323.049	381.456	227	213	5007	0.731	242	1	1.819	0.550	0.929	1322.998	1447.408	134.109
40	MD14_SEM_Sam31-ECS_2021.03.24_s0:0040-0722:1	8564.937	254.086	118.817	226	208	2773	0.770	235	1	1.464	0.683	0.923	1073.301	1147.662	120.887
41	MD14_SEM_Sam31-ECS_2021.03.24_s0:0041-0705:1	953.162	466.184	238.712	344	301	1423	0.845	351	1	1.801	0.555	0.949	719.832	665.543	13.965
42	MD14_SEM_Sam31-ECS_2021.03.24_s0:0042-0727:1	9923.700	262.098	254.794	210	145	4511	0.692	214	1	2.110	0.474	0.911	1099.211	1328.921	115.924
43	MD14_SEM_Sam31-ECS_2021.03.24_s0:0043-0719:1	5860.932	403.253	404.644	233	222	3765	0.589	284	1	2.120	0.472	0.813	1154.421	889.430	26.323
44	MD14_SEM_Sam31-ECS_2021.03.24_s0:0044-0731:1	7422.495	309.847	318.020	227	186	3016	0.732	239	1	1.665	0.601	0.915	1138.935	1148.355	44.943
45	MD14_SEM_Sam31-ECS_2021.03.24_s0:0045-0729:1	7057.454	289.906	201.498	228	211	2813	0.745	248	1	1.249	0.800	0.928	1232.243	1246.955	108.047
46	MD14_SEM_Sam31-ECS_2021.03.24_s0:0046-0734:1	8957.018	253.817	121.722	219	200	2247	0.755	232	1	1.629	0.614	0.933	1101.330	1137.132	98.386
47	MD14_SEM_Sam31-ECS_2021.03.24_s0:0047-0760:1	7598.255	408.456	614.086	246	207	8687	0.321	243	1	5.046	0.198	0.771	958.149	1276.181	16.425
48	MD14_SEM_Sam31-ECS_2021.03.24_s0:0048-0739:1	9098.978	380.146	470.494	241	222	6196	0.779	260	1	1.672	0.598	0.945	1516.657	1346.108	149.118
