 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1	MD27_GAL_Sam89-ECS_2021.03.24_s2:0001-0418:1	4157.408	214.545	201.021	166	128	2118	0.158	169	1	2.268	0.441	0.332	302.156	307.342	3.498
2	MD27_GAL_Sam89-ECS_2021.03.24_s2:0002-0415:1	6111.052	168.816	52.190	166	128	1071	0.862	164	1	1.048	0.954	0.945	395.233	359.855	16.189
3	MD27_GAL_Sam89-ECS_2021.03.24_s2:0003-0508:1	33942.028	184.304	125.698	145	123	2028	0.118	158	1	5.528	0.181	0.394	254.690	261.044	9.076
4	MD27_GAL_Sam89-ECS_2021.03.24_s2:0004-0482:1	4137.128	169.258	106.746	155	133	1779	0.884	156	1	1.188	0.842	0.953	367.558	416.880	16.998
5	MD27_GAL_Sam89-ECS_2021.03.24_s2:0005-0490:1	6888.454	158.951	67.394	147	123	1083	0.802	147	1	1.164	0.859	0.931	246.394	196.932	23.303
6	MD27_GAL_Sam89-ECS_2021.03.24_s2:0006-0491:1	4644.129	195.913	219.754	157	127	3055	0.870	162	1	1.264	0.791	0.953	377.114	366.517	18.649
7	MD27_GAL_Sam89-ECS_2021.03.24_s2:0007-0497:1	6367.933	205.602	159.160	162	144	1744	0.820	166	1	1.426	0.701	0.930	348.835	371.717	24.115
8	MD27_GAL_Sam89-ECS_2021.03.24_s2:0008-0505:1	6705.933	167.339	63.965	159	127	897	0.828	158	1	1.404	0.712	0.943	298.798	257.457	26.458
9	MD27_GAL_Sam89-ECS_2021.03.24_s2:0009-0504:1	4704.969	187.264	219.216	154	126	3483	0.784	160	1	1.156	0.865	0.935	335.553	369.095	16.904
10	MD27_GAL_Sam89-ECS_2021.03.24_s2:0010-0514:1	7327.855	178.815	57.509	172	139	1007	0.818	172	1	1.425	0.702	0.938	356.382	385.076	18.293
11	MD27_GAL_Sam89-ECS_2021.03.24_s2:0011-0533:1	4968.610	173.287	101.872	145	131	1577	0.212	151	1	4.353	0.230	0.396	249.303	239.787	6.188
12	MD27_GAL_Sam89-ECS_2021.03.24_s2:0012-0513:1	4955.090	176.984	43.082	172	139	741	0.645	172	1	2.450	0.408	0.884	359.901	372.992	33.165
13	MD27_GAL_Sam89-ECS_2021.03.24_s2:0013-0532:1	6584.253	170.922	68.464	158	138	1060	0.750	159	1	1.393	0.718	0.912	305.167	293.838	36.170
14	MD27_GAL_Sam89-ECS_2021.03.24_s2:0014-0532:1	6658.613	168.744	62.426	155	135	1198	0.830	158	1	1.025	0.975	0.947	508.186	503.139	30.909
15	MD27_GAL_Sam89-ECS_2021.03.24_s2:0015-0530:1	5502.651	185.528	91.877	170	155	1665	0.793	171	1	1.104	0.905	0.938	430.305	486.670	46.289
16	MD27_GAL_Sam89-ECS_2021.03.24_s2:0016-0535:1	5604.051	191.376	96.328	174	156	2090	0.734	176	1	1.772	0.564	0.915	551.764	671.783	36.008
17	MD27_GAL_Sam89-ECS_2021.03.24_s2:0017-0541:1	5948.812	179.701	47.283	169	145	1095	0.714	173	1	1.755	0.570	0.892	432.440	488.290	21.455
